level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,10.00 pagi,1000,,"[Timbalan Yang di-Pertua (Datuk Ronald Kiandee)
**mempengerusikan Mesyuarat]**"
,,,10.00 pagi,1000,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],"Ahli-ahli Yang
Berhormat ada makluman daripada Yang Berhormat Timbalan Menteri. Silakan Yang
Berhormat."
USUL,"• Rang Undang-Undang Lembaga Kenaf dan
Tembakau Negara 2008",,2008,2008,Timbalan Menteri Kewangan [Dato’ Haji Ahmad Husni bin Mohamad Hanadzlah],"Tuan Yang di-Pertua, saya mohon mencadangkan, “bahawa menurut
Peraturan Mesyuarat 62, Rang Undang-undang Pendidikan (Pindaan) 2008 dan Rang
Undang-undang Lembaga Kenaf dan Tembakau Negara 2008 yang dijadualkan dalam
Aturan Urusan Mesyuarat hari ini sebagai nombor 2 dan 3 ditangguhkan bacaan kali
kedua dan ketiga dan dibawa ke mesyuarat yang akan datang."
USUL,"• Rang Undang-Undang Lembaga Kenaf dan
Tembakau Negara 2008",,2008,2008,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],Baiklah.
RANG UNDANG-UNDANG,"RANG UNDANG-UNDANG PERBEKALAN
TAMBAHAN (2008) 2008
Jawatankuasa",,2008,2008,,"Aturan Urusan Mesyuarat dibacakan bagi menyambung semula pertimbangan
atas “Rang Undang-undang Perbekalan Tambahan (2008) 2008 dalam Jawatankuasa
sebuah-buah Majlis.” **[Hari Pertama]
Majlis bersidang dalam Jawatankuasa.**
[Timbalan Yang di-Pertua (Datuk Ronald Kiandee) **mempengerusikan
Jawatankuasa**]"
RANG UNDANG-UNDANG,"RANG UNDANG-UNDANG PERBEKALAN
TAMBAHAN (2008) 2008
Jawatankuasa",,10.07 pg.,1007,Timbalan Menteri Kewangan [Dato’ Haji Ahmad Husni bin Mohamad Hanadzlah],"Tuan Pengerusi, saya mohon mencadangkan supaya wang sejumlah
tidak lebih daripada RM20,153,679,997 yang diperuntukkan dalam Anggaran
Perbelanjaan Mengurus Tambahan Pertama 2008 bagi Maksud-maksud Bekalan B.6,
B.7, B.11, B.12, B.20, B.21, B.22, B.23, B.25, B.28, B.31, B.32, B.42, B.44, B.45, B.46,
B.48, B.49 dan B.62 untuk kementerian-kementerian dan jabatan-jabatan yang
berkenaan dijadikan Jadual dan penyata yang dibentangkan sebagai Kertas Perintah
11 Tahun 2008 dan Kertas Perintah 12 Tahun 2008, masing-masing dijadikan
Anggaran Perbelanjaan.
Tuan Pengerusi, keperluan bagi mengadakan peruntukan-peruntukan dalam
Anggaran Perbelanjaan Mengurus Tambahan Pertama 2008 telah pun dibentangkan
terdahulu. Di samping itu, penjelasan lanjut mengenai cadangan-cadangan anggaran
peruntukan tambahan ini adalah juga diberi dalam Memorandum Perbendaharaan yang
dibentangkan sebagai Kertas Perintah 11A Tahun 2008. Oleh itu saya tidak berhajat
hendak memberi apa-apa penerangan tambahan lagi.
Tuan Pengerusi, saya mohon mencadangkan."
RANG UNDANG-UNDANG,"RANG UNDANG-UNDANG PERBEKALAN
TAMBAHAN (2008) 2008
Jawatankuasa",,10.07 pg.,1007,Tuan Pengerusi [Datuk Ronald Kiandee],"Baik. Ahli-ahli Yang Berhormat,
saya ingin mengingatkan Ahli-ahli Yang Berhormat kepada beberapa perkara sebelum
perbahasan dimulakan terhadap perkara 67(9), iaitu had perbahasan hendaklah
ditumpukan kepada butiran-butiran yang terkandung di dalam Jadual kementerian
tertentu. Dengan keadaan yang begitu dan dengan keadaan masa yang diperuntukkan
kepada kita pada hari ini, saya ingin menggunakan kuasa 35(7) untuk mengehadkan
masa perbahasan selama lima minit bagi seorang."
RANG UNDANG-UNDANG,"RANG UNDANG-UNDANG PERBEKALAN
TAMBAHAN (2008) 2008
Jawatankuasa",Maksud B.6 dan B.7 [Jadual] –,10.07 pg.,1007,Tuan Pengerusi [Datuk Ronald Kiandee],"Kita buka perbahasan kepada
Jabatan Perdana Menteri, Kepala Bekalan B.6 dan B.7 di bawah Jabatan Perdana
Menteri terbuka untuk dibahas. Yang Berhormat Ipoh Timur."
RANG UNDANG-UNDANG,"RANG UNDANG-UNDANG PERBEKALAN
TAMBAHAN (2008) 2008
Jawatankuasa",Maksud B.6 dan B.7 [Jadual] –,10.08 pg.,1008,Tuan Lim Kit Siang [Ipoh Timur],"Terima kasih Tuan Pengerusi. Saya
menyebut Butiran 010000 mengenai pentadbiran iaitu peruntukan atau permohonan
berjumlah RM44 juta untuk pelaksanaan projek Managed Portal Services (MPS) yang
sudah lebih 10 tahun. Yang Berhormat Menteri kita ada melaksanakan electronic
government, tetapi sekarang yang kita mahu tahu ialah sikap kerajaan mengenai
electronic government - penggunaan internet.
Kita selalu mendengar bahawa kerajaan ada menasihatkan rakyat janganlah
percaya kepada apa yang ada dalam blog-blog, apa yang ada dalam internet tetapi
nampaknya kerajaan sendiri percaya apa yang ada dalam blog-blog sehinggakan tadi
Yang Berhormat Menteri Dalam Negeri ‘lari’. Kenapa dia ‘lari’? Kalau dia dengar saya
sekarang, saya harap dia masuk balik ke dalam Dewan yang mulia ini.
Kenapa kerajaan boleh percaya kepada dua blog, dua ucapan dan dua SMS
bahawa akan ada satu demonstrasi besar-besaran pada hari Isnin dan oleh kerana itu
melancarkan satu operasi melibatkan 1,600 orang anggota. Untuk tiga hari Kuala
Lumpur dan Lembah Klang paralyzed dengan tanpa apa-apa asas. Ini menunjukkan
bahawa sikap kerajaan mengenai electric government belum matang. Saya rasa ini
amat mustahak kerana apalah guna mengadakan satu Managed Portal Services
apabila kerajaan tidak boleh mengadakan satu pendirian yang jelas sebagaimana sikap
mengenai netizenship sekarang ini - a cyber world.
Saya harap khasnya dalam perkara ini Yang Berhormat Menteri bagi pihak
Kementerian Dalam Negeri boleh menerangkan pendirian kerajaan mengenai blog-blog
khasnya dalam election baru-baru ini, di mana Yang Amat Berhormat Perdana Menteri
ada mengisytiharkan satu website, di mana dia ‘mempersilakan’ segala pandangan
diberikan, tetapi kita dapati complaints bahawa segala e-mel yang dihantar ke website
itu, kepada Yang Amat Berhormat Perdana Menteri tidak dapat perhatian yang serius.
Perdana Menteri sendiri pun tidak ambil perhatian mungkin adalah staf-staf
yang menguruskannya, dan ini nanti tidak memuaskan. Akhirnya saya berharap
bahawa kalau kita mahu satu manage portal services yang cekap dan baik, kita
perlulah satu sikap mengenai electronic government yang benar-benar terkini dan
bukan macam sekarang di mana kerajaan ada double standard mengenai blog-blog
dan tidak memberi perhatian yang serius dalam perkara ini. Sekian, terima kasih."
RANG UNDANG-UNDANG,"RANG UNDANG-UNDANG PERBEKALAN
TAMBAHAN (2008) 2008
Jawatankuasa",Maksud B.6 dan B.7 [Jadual] –,10.08 pg.,1008,Dato' Dr. Mohamad Shahrum Osman [Lipis],"Terima kasih Tuan Pengerusi.
Saya ingin membahaskan mengenai Butiran 200000, di bawah Jabatan Perpaduan
Negara dan Integrasi Nasional. Saya mengalu-alukan hasrat kerajaan untuk
memperluaskan dan memperbanyakkan kawasan Rukun Tetangga dan Skim Rondaan
Sukarela.
Bagi saya, ini dapat kita mewujudkan silaturahim di antara satu sama lain
terutamanya penduduk-penduduk di dalam sesuatu kawasan Rukun Tetangga itu.
Terutamanya kini banyak kejadian pecah rumah dan sebagainya yang terletak di
kawasan- kawasan Rukun Tetangga terutamanya yang berada agak berjauhan dengan
pusat rondaan polis. Sebagai contohnya, di Lipis baru-baru ini dalam masa sebulan
berlakunya tiga kejadian, atau empat kejadian pecah rumah yang melibatkan senjata.
Masa diambil dan bagi saya kalau di Kuala Lumpur ini keadaan yang biasa
tetapi di Lipis keadaan seperti ini adalah luar biasa. Walaupun polis memang cekap dan
telah pun mengenal pasti penjenayah-penjenayah tersebut tetapi apa yang saya
harapkan Tuan Pengerusi, bila kita meluaskan kawasan Rukun Tetangga dan kita
mengadakan Skim Sukarela ini, janganlah pula pusat aktiviti Rukun Tetangga ini
menjadi satu pusat untuk sesuatu pihak pula mengembangkan ideologi dan agenda-
agenda kepartian masing-masing.
Jadi ini menyebabkan semangat Rukun Tetangga itu tidak berlaku dan berlaku
pula bukan kita hendak memadukan..., Jabatan Perpaduan mungkin akan jadi jabatan
perpecahan, kalau kita tidak berhati-hati dan kita tidak memastikan Rukun Tetangga itu
melaksanakan program-program mengikut objektif dan matlamat-matlamat sebenarnya.
Sekian, terima kasih."
