level_1,level_2,level_3,timestamp,author,speech
,,,1000,ANNOTATION,"[Timbalan Yang di-Pertua (Datuk Dr. Wan Junaidi bin Tuanku Jaafar)
mempengerusikan Mesyuarat]"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1000,Tuan Teng Boon Soon [Tebrau],"minta Menteri Pelajaran menyatakan apakah
hala tuju atau arah baru dalam usaha mentransformasikan Dasar Pelajaran Negara.
Apakah sebab-sebabnya transformasi ini diperlukan."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1000,Timbalan Perdana Menteri dan Menteri Pelajaran [Tan Sri Dato’ Haji Muhyiddin bin Mohd. Yassin],"Tuan Yang di-Pertua, terlebih dahulu saya ingin
mengucapkan setinggi-tinggi penghargaan dan terima kasih kepada Yang Berhormat yang
prihatin dengan usaha yang telah pun diambil oleh kementerian saya dalam hendak
melaksanakan transformasi sistem pendidikan negara. Justeru itu izinkan saya menjawab
secara serentak dua pertanyaan lisan yang menyentuh secara langsung usaha tersebut
iaitu daripada Yang Berhormat Tebrau hari ini dan Yang Berhormat Sik pada 27 Jun 2012."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1000,Timbalan Yang di-Pertua [Datuk Dr. Wan Junaidi bin Tuanku Jaafar],"Baik
Yang Berhormat."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1000,Tan Sri Dato’ Haji Muhyiddin bin Mohd. Yassin,"Sebagaimana yang telah saya
perjelaskan kepada Dewan yang mulia ini pada 15 Mac 2012 yang lalu，beberapa tindakan
sedang dilaksanakan oleh Kementerian Pelajaran Malaysia dalam memastikan penilaian di
atas sistem pendidikan negara dapat dilakukan mengikut perancangan yang ditetapkan. Di
kesempatan kali ini, saya akan memperjelaskan status terkini pelaksanaan penilaian
semula sistem pendidikan dan sekali gus menjawab persoalan-persoalan yang telah pun
dibangkitkan. Untuk makluman Dewan yang mulia ini, fasa pertama kajian penilaian
pendidikan telah merumuskan bahawa sistem pendidikan yang sedang berlangsung
sekarang masih relevan dari segi akses ekuiti dan kualiti pendidikan itu sendiri. Namun hasil
diagnostik dan kajian awal penilaian mendapati masih ada ruang untuk penambahbaikan
bagi persediaan negara menghadapi cabaran abad ke-21.
Untuk makluman Yang Berhormat Tebrau, inilah sebenarnya usaha yang wajar
dilaksanakan agar ia dapat diselaraskan dengan transformasi kerajaan yang lain dengan
matlamat untuk menjadikan Malaysia sebagai negara maju berpendapatan tinggi. Selain
daripada itu, hasil kajian awal juga merumuskan bahawa sembilan bidang keutamaan iaitu
guru, kepimpinan sekolah, kualiti sekolah, kurikulum dan penaksiran, *proficiency* pelbagai
bahasa, peluang lepas menengah, ibu bapa dan komuniti, kecekapan dan keberkesanan
sumber dan kapasiti serta kemampuan penyampaian organisasi diberikan penumpuan dan
penelitian yang mendalam. Justeru dalam mengerakkan usaha-usaha berkenaan
Kementerian Pelajaran Malaysia telah pun mengenal pasti beberapa kaedah dan
pendekatan bagi mendapatkan input serta maklum balas untuk memastikan hala tuju
pendidikan di masa hadapan yang lebih baik dan berkesan dan ini bertujuan untuk
memastikan sistem pendidikan negara mampu melahirkan modal insan yang berilmu
pengetahuan, berkemahiran, kreatif, inovatif, berketerampilan, mempunyai nilai murni dan
jati diri yang tinggi serta menghargai keharmonian dan kemakmuran yang dinikmati selama
ini.
Sebagai langkah awal dalam mengumpulkan maklumat, Dialog Pendidikan
Nasional telah pun dirancang dan dilaksanakan secara berperingkat, ini bertujuan untuk
menyediakan suatu wadah perkongsian maklumat dan lontaran pandangan semua lapisan
masyarakat yang akan dijadikan input dan panduan kepada Kementerian Pelajaran
Malaysia bagi menyediakan hala tuju yang baru. Untuk makluman Yang Berhormat Sik,
sehingga kini sebanyak lapan siri dialog telah pun berjaya dilaksanakan dengan melibatkan
seramai 8,415 orang daripada pelbagai lapisan masyarakat dan latar belakang pendidikan
termasuk wakil daripada bidang-bidang keagamaan. Namun masih ada ruang dan peluang
bagi mereka yang masih belum dapat menyumbang menerusi dialog tersebut, masih
terdapat lima siri dialog yang akan berlangsung sehingga pertengahan Julai 2012.
Oleh itu, saya menyeru semua pihak agar dapat memanfaatkan peluang yang
masih ada ini untuk bersama-sama memberikan input dan pandangan demi masa depan
sistem pendidikan negara. Berdasarkan dapatan awal tersebut, bolehlah dikatakan bahawa
bidang profesionalisme perguruan dan aspirasi rakyat terhadap sistem pendidikan dan
‘kemenjadian’ murid menjadi fokus utama yang perlu diberikan perhatian dalam
transformasi pendidikan ini.
Tuan Yang di-Pertua, di samping dialog pendidikan yang dilaksanakan sebagai
usaha penglibatan masyarakat ataupun *public engagement* secara terbuka, sesi
perbincangan meja bulat bersama kumpulan-kumpulan berfokus dan berkepentingan dalam
sistem pendidikan juga diadakan."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1010,Tan Sri Dato’ Haji Muhyiddin bin Mohd. Yassin,"Dalam konteks ini, sebanyak tujuh perbincangan meja bulat telah dilaksanakan
mulai bulan April 2012 mengikut kumpulan tertentu seperti penggerak masyarakat, ahli
akademik, tokoh dan pemimpin masyarakat termasuklah daripada kalangan orang kelainan
upaya (OKU). Isu-isu yang dibangkitkan semasa sesi tersebut kebanyakannya menyentuh
persoalan yang hampir sama seperti yang dibincangkan dalam siri dialog nasional seperti
kualiti guru, sistem pendidikan, kurikulum dan pentaksiran, kualiti sekolah, kepimpinan
sekolah, penekanan pada nilai dan disiplin murid, penglibatan ibu bapa dan pendidikan
yang bebas daripada campur tangan politik. Masih terdapat lapan sesi perbincangan meja
bulat ini yang dijangka dapat diselesaikan pada pertengahan bulan Julai 2012.
Untuk makluman Dewan yang mulia ini, perkara-perkara yang menjadi topik
popular dalam lapan siri dialog dan tujuh perbincangan meja bulat yang telah pun
dijalankan setakat ini, Kementerian Pelajaran mendapati bahawa 27% responden
menyentuh tentang aspek profesionalisme perguruan, kebajikan dan kemahiran pengajaran
guru. Sementara itu, 14% menyentuh tentang aspirasi sistem pendidikan dan
pembangunan modal insan yang lebih menyeluruh. 12% mengenai kualiti sekolah, 11%
kepimpinan sekolah, 10% kurikulum dan pentaksiran, 9% mengenai peranan ibu bapa,
komuniti dan sektor swasta, 7% kapasiti dan keupayaan sistem penyampaian, 5%
kecekapan dan keberkesanan penggunaan sumber, 3% *proficiency* pelbagai bahasa dan
1% peluang lepasan menengah.
Saya ingin mengambil kesempatan mengucapkan setinggi-tinggi terima kasih
kepada semua pertubuhan, persatuan, kesatuan, kumpulan komuniti dan NGO yang telah
pun menghantar 22 memorandum yang mengandungi pandangan, resolusi dan cadangan
yang kesemuanya sangat bernilai dengan hasrat murni untuk sama-sama menyumbang
kepada penambahbaikan sistem pendidikan negara.
Tuan Yang di-Pertua, setelah semua maklumat dapat dikumpul, dinilai dan
dirumuskan, maka satu laporan akhir akan disediakan. Laporan ini akan menjadi input
penting dalam menentukan hala tuju pendidikan yang baru ataupun *blueprint* pendidikan
yang seterusnya dibentangkan semula kepada rakyat pada tempoh masa yang akan
dimaklumkan untuk mendapatkan maklum balas akhir masyarakat. Seterusnya, *blueprint*
pendidikan yang telah dimurnikan, akan dibentangkan kepada Kabinet untuk diluluskan dan
dilaksanakan.
Adalah diharapkan laporan hala tuju pendidikan yang komprehensif dan
bersepadu yang dihasilkan ini, akan dapat merealisasikan satu sistem pendidikan yang
holistik serta memenuhi *expectancy* dan ekspresi rakyat. Proses yang dilakukan ini bukan
terhenti setakat ini sahaja tetapi apabila selesai pembinaan hala tuju pendidikan yang baru,
kementerian akan menyediakan pula pelan tindakan yang bersesuaian. Inilah bertujuan
untuk menterjemahkan hasrat hala tuju pendidikan berkenaan dalam bentuk inisiatif-inisiatif
yang baru.
Sesungguhnya, apa yang dilaksanakan dan dirancang untuk menambah baik
sistem pendidikan negara amat memerlukan kerjasama dan sokongan semua pihak tanpa
mengira fahaman politik, latar belakang sosioekonomi, pendidikan, agama dan bangsa. Apa
yang lebih penting ialah untuk memastikan sistem ini mampu melahirkan modal insan yang
berilmu pengetahuan, berakhlak mulia, bertanggungjawab, berketerampilan, berkeupayaan
mencapai kesejahteraan diri serta memberikan sumbangan terhadap keharmonian dan
kemakmuran keluarga, masyarakat dan negara tanpa membelakangkan prinsip-prinsip
Rukun Negara. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1010,Tuan Teng Boon Soon [Tebrau],"Ya. Tuan Yang di-Pertua, saya ingin
mengucapkan setinggi-tinggi tahniah kepada Menteri Pelajaran, khususnya kepada
kementerian dan kerajaan atas segala usaha kementerian untuk meningkatkan prestasi
sistem pelajaran negara. Saya juga ingin mengucapkan terima kasih kepada jawapan
terperinci yang telah diberikan oleh Yang Amat Berhormat Menteri Pelajaran yang telah
memberikan satu harapan masa hadapan yang lebih cerah kepada semua anak Malaysia.
Tuan Yang di-Pertua, isu kekurangan guru di sekolah jenis kebangsaan sering kali
heboh diperkatakan dan dibangkitkan sehingga kemampuan kementerian pun dipersoalkan.
Saya hendak tahu apakah kaedah-kaedah unjuran tentang keperluan guru yang kini
dipakai, dilihat dan dikaji semula supaya unjuran yang disediakan kelak menemui keperluan
yang sebenarnya? Apakah persiapan yang dibuat untuk memastikan tenaga pengajar untuk
menampung keperluan apabila enrolmen untuk pelajar vokasional dan latihan vokasional
mencapai 20% daripada jumlah keperluan pelajaran negara? Adakah prinsip
meliberalisasikan pelajaran terus diamalkan termasuk membenarkan penubuhan sekolah
baru bagi sekolah menengah swasta dan juga sekolah rendah vernakular apabila wujud
keperluannya? Minta penjelasan Yang Amat Berhormat Menteri. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1010,Tan Sri Dato’ Haji Muhyiddin bin Mohd. Yassin,"Terima kasih kepada Yang
Berhormat yang mengemukakan soalan tambahan tadi. Soalan yang disebutkan pertama
tadi ialah soal guru dan juga unjuran ataupun kaedah yang digunakan untuk kita mendapat
guru-guru yang mencukupi dan juga terlatih untuk menentukan proses pembelajaran dan
pengajaran itu dapat dilaksanakan dengan lebih baik lagi. Memang ini satu daripada
perkara penting sebenarnya. Saya telah memberikan beberapa arahan pada peringkat
pegawai di peringkat kementerian untuk melihat cara bagaimana proses, sebagai contoh
pengambilan guru, dapat kita lakukan berdasarkan kepada unjuran bilangan pelajar-pelajar
yang bertambah dan sekolah-sekolah baru dan sekolah-sekolah yang sedia ada yang telah
pun kita laksanakan selama ini.
Demikian juga yang amat penting di antara lain ialah tentang apa yang kita
sebutkan sebagai bidang pengkhususan ataupun opsyen guru-guru yang berkenaan
supaya mereka ini dapat menyampaikan segala mata pelajaran itu mengikut bidang
kemahiran mereka sendiri. Di sini kita dapati ada beberapa masalah dan kekangan yang
menyebabkan sebagai contoh, walaupun bilangan guru mencukupi tetapi bidang opsyen
yang mereka ajar mungkin tidaklah berdasarkan opsyen latihan yang mereka jalani.
Contohlah saya sebutkan dalam soal mata pelajaran Bahasa Inggeris, kita memerlukan
guru-guru yang pakar bahasa Inggeris. Bilangan guru yang dikatakan pakar dan opsyen
Bahasa Inggeris itu memang mencukupi. Akan tetapi disebabkan oleh masalah-masalah
pentadbiran, pertukaran dan sebagainya, kadang-kadang guru-guru yang sepatutnya
mengajar Bahasa Inggeris tidak dapat mengajarnya. Di sekolah itu sudah sedia ada
bilangan guru bahasa Inggeris, maka guru itu mengajar mata pelajaran yang lain.
Jadi, ini berbangkit dan bukan baru. Sudah sekian lama. Jadi, kita hendak cari
jalan bagaimana hendak merasionalisasikan supaya kemahiran-kemahiran tertentu yang
ada pada guru itu dapatlah dilaksanakan mengikut kemahiran masing-masing. Jadi, soal
yang berkaitan dengan kekurangan guru ini adalah soal-soal isu pentadbiran yang kerap
berlaku dan kita cuba hendak mencari jalan untuk mengurangkan masalah itu. Sebagai
contoh, kita tahu setiap tahun berapakah bilangan guru yang akan bersara kerana
Kementerian Pelajaran mempunyai sejumlah hampir 500,000 orang guru. Jadi, setiap tahun
ada bilangan yang akan bersara dan penggantian itu dibuat berdasarkan latihan yang kita
buat untuk memilih guru-guru baru. Apabila mereka telah selesai, keluar daripada institut
perguruan, maka mereka akan ditempatkan di sekolah-sekolah di mana berlaku
kekurangan. Jadi ada isu-isu yang perlu kita tangani untuk mengurangkan masalah itu. Jadi
ini sedang kita ambil untuk mengatasinya dari segi jangka panjang."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1020,Tan Sri Dato’ Haji Muhyiddin bin Mohd. Yassin,"Soal yang kedua ialah soal persiapan untuk tenaga guru untuk sekolah-sekolah
vokasional. Ini satu bidang yang memang saya sendiri berpendapat amat penting kerana
dalam proses transformasi negara kita, kita memerlukan tenaga-tenaga yang lebih mahir
terutamanya separa mahir di kalangan anak-anak kita yang ada dalam sistem
persekolahan. Jadi saya juga telah pun mengumumkan kita perlu meningkatkan sekali
ganda lagi bilangan pelajar-pelajar yang mengambil bidang vokasional. Sekarang ini hanya
lebih kurang 10% sahaja. Ini tidak mencukupi. Di banyak negara sampai 40% hingga 50%
kerana bidang-bidang ini ialah bidang kemahiran.
Jadi oleh sebab itu kita sudah pun ada program transformasi sekolah vokasional di
mana pertama kita mengambil kira tentang kurikulum pembelajaran vokasional di sekolah,
malahan memperkenalkan apa yang kita sebutkan mata pelajaran Vokasional di peringkat
awal di Tingkatan Satu secara percubaan mulai tahun ini dan di samping itu kita hendak
memperkenalkan bidang-bidang mata pelajaran yang dianggap sesuai dari segi keperluan
pasaran dan sebagainya. Untuk itu, kita perlu meningkatkan bilangan *instructors* yang lebih
pakar dan mahir. Jadi dengan keadaan begini kita harap dan kita dapat menyediakan
sejumlah tenaga kerja terlatih yang lebih ramai lagi. Untuk itu, kita bekerja rapat dengan
sektor industri. Kita tahu sektor industrilah yang akan mengambil mereka ini sebagai
pekerja-pekerja dan kemahiran yang hendak kita sediakan ialah bergantung kepada
keperluan sektor industri tadi.
Soal yang ketiga soal liberalisasi pelajaran untuk sekolah-sekolah menengah. Kita
sudah ada dasar-dasar kita tentang sekolah-sekolah seperti sekolah-sekolah persendirian,
sekolah swasta, sekolah antarabangsa dan juga sekolah-sekolah untuk ekspatriat. Ini
sudah pun jelas sedia ada dan kalau sekiranya sesuatu pihak berminat untuk
memperluaskan bidang itu, maka asalkan mereka dapat mematuhi segala syarat dan
kriteria yang kita tetapkan, sebagai contoh dari segi soal sekolah swasta ada mata
pelajaran-mata pelajaran yang dikatakan *core,* mata pelajaran subjek yang utama, maka
mereka perlu ikut dan kalau mereka dapat mematuhinya, ia tidak menjadi masalah.
Memang pun pada hari ini sebagaimana yang kita tahu, sektor pendidikan sudah
pun kita meliberalisasikan selaras dengan kehendak kita untuk menjadikan Malaysia
sebagai hab pendidikan. Ini wajar kita laksanakan dan kita mahu supaya bukan sahaja
kerajaan bertanggungjawab sepenuhnya dalam penyediaan kemudahan-kemudahan
pelajaran tetapi juga sektor swasta. Saya lihat dalam tempoh beberapa tahun kebelakangan
ini memang pun ramai sektor swasta dalam negara dan juga luar negara yang mengambil
peluang dasar kita ini untuk membangunkan sekolah-sekolah di seluruh negara."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,1020,Dr. Tan Seng Giaw [Kepong],"Tuan Yang di-Pertua, soalan tambahan. Saya
memang setuju kita mesti menekankan sekolah vokasional yang berkualiti di negara ini dan
saya berharap ini akan dibuat. Di sini adakah pihak kementerian akan memperbetulkan
keadaan-keadaan wujud sebelum kita tunggu laporan kajian ini, *blueprint* ini dikeluarkan,
sebelum dia dikeluarkan, apakah tindakan yang boleh diambil seperti saya bangkitkan di
sini juga yang tiga empat tahun yang dahulu pun Yang Amat Berhormat jawab saya waktu
itu bahawa masalah perguruan yang beratus ribu ini akan dengan beransur diselesaikan.
Saya bagi satu contoh lagi, kerana tiap-tiap tahun ada 500 guru yang bersara.
Misalnya di Sekolah Menengah Subang Jaya sekarang itu di *Form 3 Gigih*, kelas Tingkatan
3 Gigih, iaitu satu guru matematik sudah berasa pada 15 April tahun ini dan sampai
sekarang guru matematik tidak dapat diadakan. Ini masalah kerana begitu ramai yang
sudah bersara.
Dengan ini saya berharap Yang Amat Berhormat dapat menjawab kita di dalam
sembilan bidang yang sudah pun kita kaji dengan dialog dan saya rasa memang kita mesti
ada dialog, kita memang mesti ada forum dan juga meja bulat dan sebagainya, memang
penting. Akan tetapi sementara itu, apakah hendak kita buat? Ini kerana kalau Yang Amat
Berhormat ingat, pada itu Laporan Mahathir dahulu pun ada masalah guru yang ditimbulkan
di dalam laporan itu tetapi kemudian lebih 20 tahun pun kita tidak dapat selesaikan. Apakah
yang akan dibuat? Ini termasuklah sekolah-sekolah persendirian yang sudah pun
disebutkan tadi. Misalnya mengapa masih wujud masalah sekolah menengah persendirian
di Kuantan kalau dasar yang disebutkan tadi pun dilaksanakan? Ini kerana dasar utama,
iaitu kurikulum utama kalau mereka boleh mematuhi, apakah masalah yang ditimbulkan di
Kuantan sekarang?"
