category,count
"PENERANGAN DARIPADA YB. MENTERI SAINS, TEKNOLOGI DAN INOVASI DI BAWAH P.M. 14(1)(i)",1
UCAPAN TAKZIAH KEPADA KELUARGA MENDIANG DATUK LIEW VUI KEONG,1
USUL PERDANA MENTERI DI BAWAH P.M. 27(3),3
PENERANGAN DARIPADA MENTERI PENGANGKUTAN DI BAWAH P.M. 14(1)(i),1
RANG UNDANG-UNDANG DIBAWA KE DALAM MESYUARAT,89
ISTIADAT PEMBUKAAN PENGGAL KEEMPAT MAJLIS PARLIMEN YANG KEEMPAT BELAS,1
USUL MENTERI DI BAWAH P.M. 27(3),1
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,261
PENERANGAN DARIPADA MENTERI DALAM NEGERI,1
USUL MENANGGUHKAN MESYUARAT DI BAWAH P.M.18(1),2
JAWAPAN-JAWAPAN LISAN BAGI `PERTANYAAN-PERTANYAAN,1
PETUA-PETUA TUAN YANG DI-PERTUA,2
USUL MENTERI DI BAWAH P.M 86(5),1
USUL MENTERI LUAR NEGERI DI BAWAH P.M. 27(3),1
JAWAPAN-JAWAPAN  MENTERI BAGI PERTANYAAN-PERTANYAAN,1
USUL-USUL PERDANA MENTERI,2
USUL MENYERAHKAN RANG UNDANG-UNDANG KEPADA JAWATANKUASA PILIHAN DAN PENUBUHAN JAWATANKUASA  PILIHAN KHAS MENGENAI PERUNTUKAN LARANGAN AHLI PARLIMEN BERTUKAR PARTI,1
MEMILIH DUA ORANG TIMBALAN YANG DI-PERTUA,1
USUL MENTERI DALAM NEGERI DI BAWAH P.M. 27(3),1
KANDUNGAN (Samb),1
ISTIADAT PEMBUKAAN PENGGAL KELIMA MAJLIS PARLIMEN YANG KEEMPAT BELAS,1
PENERANGAN DARIPADA YB. MENTERI KESIHATAN DI BAWAH P.M. 14(1)(i),1
PENGESAHAN SETIAUSAHA KEPADA MAJLIS DI BAWAH P.M. 4(7),1
JAWAPAN-JAWAPAN MENTERI BAGI PERTANYAAN-PERTANYAAN,131
PERUTUSAN DARIPADA DEWAN NEGARA,1
UCAPAN-UCAPAN TAKZIAH,1
USUL BAGI MENYERAHKAN RANG UNDANG-UNDANG KEPADA JAWATANKUASA PILIHAN KHAS MENIMBANG RANG UNDANG DI BAWAH P.M. 54(2),1
PENERANGAN DARIPADA MENTERI PERDAGANGAN DALAM NEGERI DAN KOS SARA HIDUP DI BAWAH P.M. 14(1)(i),1
USUL PERDANA MENTERI,2
UCAPAN TAKZIAH KEPADA KE BAWAH DULI YANG MAHA MULIA SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG DAN SELURUH KERABAT ATAS KEMANGKATAN KE BAWAH DULI YANG MAHA MULIA PADUKA AYAHANDA SULTAN HAJI AHMAD SHAH AL-MUSTA’IN BILLAH IBNI ALMARHUM SULTAN ABU BAKAR RI’AYATUDDIN AL-MUADZAM SHAH,1
USUL PERKARA TERTENTU BERKENAAN KEPENTINGAN ORANG RAMAI YANG BERKEHENDAK DISEGERAKAN DI BAWAH P.M. 18(1),5
PROKLAMASI MEMANGGIL PARLIMEN BERMESYUARAT,1
PENERANGAN DARIPADA YAB. PERDANA MENTERI DI BAWAH P.M. 14(1)(i),1
RANG UNDANG-UNDANG,208
USUL MENTERI HAL EHWAL EKONOMI DI BAWAH P.M. 27(3),1
USUL MENANGGUHKAN MESYUARAT DI BAWAH P.M. 18(1),8
PEMAKLUMAN DARIPADA TUAN YANG DI-PERTUA,2
UPACARA MENGANGKAT SUMPAH AHLI-AHLI,1
PENERANGAN DARIPADA MENTERI DALAM NEGERI DI BAWAH P.M. 14(1)(i),1
PENERANGAN DARIPADA MENTERI KEWANGAN,1
USUL MENANGGUHKAN BACAAN KALI KEDUA DAN KETIGA RANG UNDANG-UNDANG DI BAWAH P.M. 62,4
USUL MENTERI PERTAHANAN DI BAWAH P.M. 27(3),1
UCAPAN TAKZIAH KEPADA KELUARGA ALLAHYARHAM DATO’ ISMAIL BIN KASSIM,1
USUL PERDANA MENTERI DI BAWAH P.M. 26(1) dan 27(3),1
PEMAKLUMAN OLEH TUAN YANG DI-PERTUA,3
USUL-USUL MENTERI KEWANGAN,12
TUAN YANG DI-PERTUA MENGANGKAT SUMPAH,3
USUL MENARIK BALIK RANG UNDANG-UNDANG DI BAWAH PERATURAN MESYUARAT 62,1
USUL MENTERI DI JABATAN PERDANA MENTERI,4
"PENERANGAN DARIPADA MENTERI SUMBER ASLI, ALAM SEKITAR DAN PERUBAHAN IKLIM DI BAWAH P.M. 14(1)(i)",1
USUL-USUL,208
USUL MERENTIKAN KUAT KUASA PERATURAN-PERATURAN MESYUARAT DI BAWAH P.M. 90(2),2
USUL MENARIK BALIK USUL MENTERI DI JABATAN PERDANA MENTERI,1
USUL MENTERI PERUMAHAN DAN KERAJAAN TEMPATAN,1
ISTIADAT PEMBUKAAN PENGGAL KETIGA MAJLIS PARLIMEN YANG KEEMPAT BELAS,1
USUL MENANGGUHKAN BACAAN KALI YANG KEDUA DAN KETIGA RANG UNDANG-UNDANG DI BAWAH P.M. 62,5
USUL MENTERI SUMBER MANUSIA DI BAWAH P.M 27(3),1
USUL MENTERI DI BAWAH PERATURAN MESYUARAT 86(5),1
UCAPAN TAKZIAH KEPADA KELUARGA ALLAHYARHAM DATO’ HASBULLAH BIN OSMAN,1
PENERANGAN DARIPADA MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M. 14(1)(i),1
USUL UNDI PERCAYA TERHADAP KEPIMPINAN YANG AMAT BERHORMAT DATO’ SERI ANWAR BIN IBRAHIM,1
USUL MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M 27(3),1
AHLI-AHLI MENGANGKAT SUMPAH,1
PEMAKLUMAN TUAN YANG DI-PERTUA,1
PEMASYHURAN TUAN YANG DI-PETUA,1
MENGANGKAT SUMPAH,4
PEMASYHURAN DARIPADA TUAN YANG DI-PERTUA,26
USUL MENTERI DI BAWAH P.M. 86(5),3
MEMILIH TUAN YANG DI-PERTUA,1
USUL,118
ISTIADAT PEMBUKAAN PENGGAL KEDUA MAJLIS PARLIMEN YANG KEEMPAT BELAS,1
USUL-USUL MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M. 27(3),1
USUL MENTERI KEWANGAN,4
USUL MENTERI DALAM NEGERI,3
PETUA TUAN YANG DI-PERTUA,2
PENERANGAN DARIPADA MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M 14(1)(i),1
PENERANGAN DARIPADA MENTERI-MENTERI DI BAWAH P.M. 14(1)(i),1
PROKLAMASI KEBAWAH DULI YANG MAHA MULIA SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG MEMANGGIL PARLIMEN UNTUK BERMESYUARAT,1
PEMASYHURAN TUAN YANG DI-PERTUA,18
PERTANYAAN-PERTANYAAN BAGI JAWAB LISAN,37
USUL MENANGGUHKAN BACAAN KALI YANG KEDUA DAN KETIGA RANG UNDANG-UNDANG,1
AHLI MENGANGKAT SUMPAH,1
USUL MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M. 14(2),1
USUL DI BAWAH PERATURAN MESYUARAT 90(2),1
USUL MENARIK BALIK RANG UNDANG-UNDANG DI BAWAH P.M.62,1
USUL MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M. 76,1
WAKTU PERTANYAAN-PERTANYAAN MENTERI,21
UCAPAN TAKZIAH KEPADA KELUARGA ALLAHYARHAM TAN SRI DATO’ SERI ABDUL KHALID BIN IBRAHIM,1
PENERANGAN DARIPADA PERDANA MENTERI DI BAWAH P.M. 14(1)(i),3
PENERANGAN DARIPADA MENTERI DI BAWAH P.M. 14(1)(i),1
USUL MENTERI DI JABATAN PERDANA MENTERI DI BAWAH P.M. 27(3),7
PENGUMUMAN DARIPADA TUAN YANG DI-PERTUA,2
PEMILIHAN TUAN YANG DI-PERTUA,1
RANG UNDANG DIBAWA KE DALAM MESYUARAT,1
PENERANGAN DARIPADA MENTERI LUAR NEGERI DI BAWAH P.M. 14(1)(i),1
PETUA YANG DI-PERTUA,1
USUL MENANGGUHKAN MESYUARAT DI BAWAH P.M 18(1),4
PENERANGAN DARIPADA YB. MENTERI KEWANGAN DI BAWAH P.M. 14(1)(i),1
"ISTIADAT PEMBUKAAN PENGGAL KEENAM, MAJLIS PARLIMEN YANG KETIGA BELAS",1
RANG UNDANG-UNDANG DI BAWA KE DALAM MESYUARAT,4
TITAH SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG,6
ISTIADAT PEMBUKAAN PENGGAL KEDUA MAJLIS PARLIMEN YANG KELIMA BELAS,1
USUL MENTERI KESIHATAN DI BAWAH P.M. 27(3),3
