PERLIS,,
,,
P.,1,PADANG BESAR
N.,1,TITI TINGGI
N.,2,BESERI
N.,3,CHUPING
N.,4,MATA AYER
N.,5,SANTAN
P.,2,KANGAR
N.,6,BINTONG
N.,7,SENA
N.,8,INDERA KAYANGAN
N.,9,KUALA PERLIS
N.,10,KAYANG
P.,3,ARAU
N.,11,PAUH
N.,12,TAMBUN TULANG
N.,13,GUAR SANJI
N.,14,SIMPANG EMPAT
N.,15,SANGLANG
P.,3,N.    15
,,
KEDAH,,
P.,4,LANGKAWI
N.,1,AYER HANGAT
N.,2,KUAH
P.,5,JERLUN
N.,3,KOTA SIPUTEH
N.,4,AYER HITAM
P.,6,KUBANG PASU
N.,5,BUKIT KAYU HITAM
N.,6,JITRA
P.,7,PADANG TERAP
N.,7,KUALA NERANG
N.,8,PEDU
P.,8,POKOK SENA
N.,9,BUKIT LADA
N.,10,BUKIT PINANG
N.,11,DERGA
P.,9,ALOR STAR
N.,12,BAKAR BATA
N.,13,KOTA DARUL AMAN
N.,14,ALOR MENGKUDU
P.,10,KUALA KEDAH
N.,15,ANAK BUKIT
N.,16,KUBANG ROTAN
N.,17,PENGKALAN KUNDOR
P.,11,PENDANG
N.,18,TOKAI
N.,19,SUNGAI TIANG
P.,12,JERAI
N.,20,SUNGAI LIMAU
N.,21,GUAR CHEMPEDAK
N.,22,GURUN
P.,13,SIK
N.,23,BELANTEK
N.,24,JENERI
P.,14,MERBOK
N.,25,BUKIT SELAMBAU
N.,26,TANJONG DAWAI
P.,15,SUNGAI PETANI
N.,27,PANTAI MERDEKA
N.,28,BAKAR ARANG
N.,29,SIDAM
P.,16,BALING
N.,30,BAYU
N.,31,KUPANG
N.,32,KUALA KETIL
P.,17,PADANG SERAI
N.,33,MERBAU PULAS
N.,34,LUNAS
P.,18,KULIM-BANDAR BAHARU
N.,35,KULIM
N.,36,BANDAR BAHARU
P.,15,N.    36
,,
KELANTAN,,
P.,19,TUMPAT
N.,1,PENGKALAN KUBOR
N.,2,KELABORAN
N.,3,PASIR PEKAN
N.,4,WAKAF BHARU
P.,20,PENGKALAN CHEPA
N.,5,KIJANG
N.,6,CHEMPAKA
N.,7,PANCHOR
P.,21,KOTA BHARU
N.,8,TANJONG MAS
N.,9,KOTA LAMA
N.,10,BUNUT PAYONG
P.,22,PASIR MAS
N.,11,TENDONG
N.,12,PENGKALAN PASIR
N.,13,CHETOK
P.,23,RANTAU PANJANG
N.,14,MERANTI
N.,15,GUAL PERIOK
N.,16,BUKIT TUKU
P.,24,KUBANG KERIAN
N.,17,SALOR
N.,18,PASIR TUMBOH
N.,19,DEMIT
P.,25,BACHOK
N.,20,TAWANG
N.,21,PERUPOK
N.,22,JELAWAT
P.,26,KETEREH
N.,23,MELOR
N.,24,KADOK
N.,25,KOK LANAS
P.,27,TANAH MERAH
N.,26,BUKIT PANAU
N.,27,GUAL IPOH
N.,28,KEMAHANG
P.,28,PASIR PUTEH
N.,29,SELISING
N.,30,LIMBONGAN
N.,31,SEMERAK
N.,32,GAAL
P.,29,MACHANG
N.,33,PULAI CHONDONG
N.,34,TEMANGAN
N.,35,KEMUNING
P.,30,JELI
N.,36,BUKIT BUNGA
N.,37,AIR LANAS
N.,38,KUALA BALAH
P.,31,KUALA KRAI
N.,39,MENGKEBANG
N.,40,GUCHIL
N.,41,MANEK URAI
N.,42,DABONG
P.,32,GUA MUSANG
N.,43,NENGGIRI
N.,44,PALOH
N.,45,GALAS
P.,14,N.    45
TERENGGANU,,
,,
P.,33,BESUT
N.,1,KUALA BESUT
N.,2,KOTA PUTERA
N.,3,JERTIH
N.,4,HULU BESUT
P.,34,SETIU
N.,5,JABI
N.,6,PERMAISURI
