name,honour_title,seat_name,role,attendance,membership
Johari bin Abdul,Tan Sri Dato’ Johari bin Abdul,,Yang di-Pertua Dewan Rakyat,1,mp
Anwar Bin Ibrahim,Dato’ Seri Anwar Bin Ibrahim,Tambun,Perdana Menteri Dan Menteri Kewangan,1,mp
Fadillah Bin Yusof,Dato’ Sri Haji Fadillah Bin Yusof,Petra Jaya,Timbalan Perdana Menteri dan Menteri Perladangan dan Komoditi,1,mp
Loke Siew Fook,Tuan Loke Siew Fook,Seremban,Menteri Pengangkutan,1,mp
Mohamad Bin Sabu,Datuk Seri Haji Mohamad Bin Sabu,Kota Raja,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat",1,mp
Armizan Bin Mohd Ali,Datuk Armizan Bin Mohd Ali,Papar,"Menteri Di Jabatan Perdana Menteri (Hal Ehwal Sabah, Sarawak Dan Tugas-Tugas Khas)",1,mp
Aaron Ago Dagang,Datuk Aaron Ago Dagang,Kanowit,Menteri Perpaduan Negara,1,mp
Ahmad Bin Haji Maslan,Datuk Seri Haji Ahmad Bin Haji Maslan,Pontian,Timbalan Menteri Kewangan,1,mp
Sim Chee Keong,Tuan Sim Chee Keong,Bukit Mertajam,Timbalan Menteri Kewangan,1,mp
Hasbi Bin Haji Habibollah,Datuk Haji Hasbi Bin Haji Habibollah,Limbang,Timbalan Menteri Pengangkutan,1,mp
Chan Foong Hin,Tuan Chan Foong Hin,Kota Kinabalu,Timbalan Menteri Pertanian Dan Keterjaminan Makanan,1,mp
Shamsul Anuar Bin Haji Nasarah,Datuk Seri Dr. Shamsul Anuar Bin Haji Nasarah,Lenggong,Timbalan Menteri Dalam Negeri,1,mp
Mohammad Yusof Bin Bin Apdal,Dato' Mohammad Yusof Bin Bin Apdal,Lahad Datu,Timbalan Menteri Pendidikan Tinggi,1,mp
Ramli Bin Dato' Mohd Nor,Dato’ Ramli Bin Dato’ Mohd Nor,Cameron Highlands,Timbalan Yang di-Pertua,1,mp
Alice Lau Kiong Yieng,Puan Alice Lau Kiong Yieng,Lanang,Timbalan Yang di-Pertua,1,mp
Nga Kor Ming,Tuan Nga Kor Ming,Teluk Intan,Menteri Pembangunan Kerajaan Tempatan,1,mp
Alexander Nanta Linggi,Dato Sri Alexander Nanta Linggi,Kapit,Menteri Kerja Raya,1,mp
Nik Nazmi Bin Nik Ahmad,Tuan Nik Nazmi Bin Nik Ahmad,Setiawangsa,"Menteri Sumber Asli, Alam Sekitar dan Perubahan Iklim",1,mp
Ewon Benedick,Datuk Ewon Benedick,Penampang,Menteri Pembangunan Usahawan Dan Koperasi,1,mp
Hannah Yeoh,Puan Hannah Yeoh,Segambut,Menteri Belia Dan Sukan,1,mp
Zaliha Binti Mustafa,Dr. Zaliha Binti Mustafa,Sekijang,Menteri Kesihatan,1,mp
Adly Bin Zahari,Tuan Haji Adly Bin Zahari,Alor Gajah,Timbalan Menteri Pertahanan,1,mp
