speaker,code
Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-undang),aa87b4
Tuan Yang di-Pertua,9ceda8
Parit,1231a6
Menteri Kanan Pertahanan,bc3e24
Kulim-Bandar Baharu,9128a9
Sri Gading,c770fb
Menteri di Jabatan Perdana Menteri (Tugas-tugas Khas),af4bea
Tebrau,28b308
Kota Raja,d557b3
Rasah,a2bfa0
Rompin,fa886c
Papar,17e550
DEWAN,ce16a4
Kota Samarahan,70f222
Timbalan Menteri Perdagangan Antarabangsa dan Industri,fe1fd2
Padang Serai,a5dce6
Temerloh,252a2b
Menteri Kanan Kerja Raya,976a2f
Pontian,041f08
Beberapa Ahli,d418f0
Tumpat,bbebc2
Kuala Krai,cf6d67
Menteri Alam Sekitar dan Air,82855d
Pulai,706d9c
Seputeh,9a380f
"Timbalan Menteri Perusahaan, Perladangan dan Komoditi II",338e1f
Jempol,561b54
Parit Buntar,4715e5
Sik,64796e
Serian,f0aacf
"Timbalan Menteri Perusahaan, Perladangan dan komoditi II",885545
Timbalan Yang di-Pertua,7cc1c2
Bayan Baru,4a2fad
Batu Kawan,f68306
Timbalan Menteri Kesihatan II,602d00
Kemaman,afe856
Besut,bf5e87
Kluang,01b12d
Kangar,453305
Timbalan Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-undang),635d40
Dungun,9ca4d9
Segambut,f027f6
Rantau Panjang,0276cd
Ipoh Barat,b3a23d
Bagan Serai,2a48ef
Timbalan Menteri Kesihatan I,2b3423
Timbalan Menteri Kewangan I,6d0ddc
Port Dickson,ebccf4
Beaufort,2991bf
Selayang,9a7d98
Bukit Mertajam,033b13
Lembah Pantai,ba6138
Beruas,e9ea4b
Bagan Datuk,eff43d
Muar,d0f51b
Sepang,ad401a
Sungai Buloh,f66630
Teluk Intan,838179
Pengerang,8d5919
Bukit Bendera,40a76e
Kuala Selangor,36ef66
Kepong,0a75b4
Pasir Gudang,671b25
Tuan Pengerusi,d4c8a4
Timbalan Menteri Kewangan II,47d1a4
Timbalan Menteri Pembangunan Usahawan dan Koperasi,38ef38
Lumut,7129f5
Pokok Sena,dca70d
"AKTA 275] - Memindahkan RM7,000 juta ke Kumpulan Wang COVID-19  Timbalan Menteri Kewangan II",c4e772
Timbalan Menteri Pertanian dan Industri Makanan I,d4cdcd
