,category,subtopic,speaker,content
0,1, MEMPERKENANKAN AKTA-AKTA,9d9ff2,"Assalamualaikum warahmatullahi wabarakatuh dan salam sejahtera. Ahli-ahli Yang Berhormat, saya suka hendak memberitahu majlis ini iaitu Kebawah Duli Yang Maha Mulia Seri Paduka Baginda Yang di-Pertuan Agong dengan Limpah Kurnia Baginda telah memperkenankan akta-akta yang telah diluluskan dalam Mesyuarat Pertama Penggal Keempat Parlimen Ke-14 yang lalu seperti berikut: (i) Akta Levi Keuntungan Luar Biasa (Pindaan) 2021; (ii) Akta Langkah-langkah Sementara bagi Pembiayaan Kerajaan (Penyakit Koronavirus 2019 (COVID-19)) (Pindaan) 2021; dan (iii) Akta Kumpulan Wang Amanah Negara (Pindaan) 2021. Keduanya, saya ingin menyampaikan perkara yang berikut. Ahli-ahli Yang Berhormat semua, sambutan Hari Kanak-kanak Sedunia disambut secara global pada tanggal 20 November setiap tahun. Hari Kanak-kanak Sedunia atau World Children’s Day ini merupakan hari istimewa kerana ia menandakan penerimaan Konvensyen Hak Kanak-kanak atau Convention on the Rights of the Child (CRC) pada 20 November 1989, di mana Malaysia telah meratifikasi convention ini pada tahun 1995.
Dengan ini, pihak Malaysia mempunyai obligasi untuk mematuhi prinsip dan peruntukan yang termaktub dalam convention ini, terutamanya berkaitan dengan hak kanak-kanak iaitu kelangsungan hidup, perlindungan, pembangunan serta penyertaan kanak-kanak. Sementara ini penting bagi meraikan kanak-kanak dan kesemua pemegang taruh yang terlibat yakni pemegang amanah kanak-kanak, termasuklah ibu bapa, Ahli-ahli Parlimen kita semua, perniagaan dan perusahaan, pusat pengajian dan pendidikan serta masyarakat keseluruhannya untuk mencerminkan dan meneruskan komitmen kita bagi merealisasikan hak untuk semua kanak-kanak. Ahli-ahli Yang Berhormat, Parlimen turut serta memperingati hari yang istimewa ini dengan mengadakan sambutan pada hari ini, Rabu 17 November 2021 di Dewan Bankuet Parlimen Malaysia. Semua Ahli Yang Berhormat adalah dijemput untuk sama-sama menghadiri dan meraikan sambutan ini pada jam 1.00 tengah hari nanti.
Ahli-ahli Yang Berhormat, dengan ini saya berdoa semoga Allah berkati semua kanak-kanak di negara ini, melindungi mereka dari segala bencana dan memberi mereka cahaya yang akan menjadi pelita untuk memandu mereka ke arah memenuhi tugas-tugas dan tanggungjawab-tanggungjawab terhadap negara dan bangsa. Sekian, terima kasih."
1,0,1,1b81cb,minta Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna menyatakan langkah-langkah yang akan diambil pada masa hadapan supaya subsidi minyak masak serta subsidi bawah kawal selia Kementerian dapat dioptimumkan dan agihan subsidi tersebut sampai ke golongan sasaran.
2,0,1,fb8d8a,"Terima kasih Tuan Yang di-Pertua dan terima kasih Yang Berhormat yang bertanya. Tuan Yang di-Pertua, bagi memastikan subsidi minyak masak serta subsidi di bawah kawalan kementerian dapat dioptimumkan dan agihan subsidi tersebut sampai ke golongan sasaran, KPDNHEP akan melaksanakannya kajian bagi mengoptimumkan subsidi di bawah KPDNHEP.
Kajian ini dimulakan pada tahun 2021, bulan Oktober sebenarnya dan dijangka selesai pada tahun 2022. Melalui kajian ini, aspek keberkesanan pelaksanaan program subsidi sedia ada akan dinilai meliputi keberkesanan penyampaian, mekanisme pelaksanaan, darjah ketirisan dan kos yang terlibat akan dikaji, diperhalusi dan seterusnya cadangan mekanisme baharu untuk dilaksanakan sebagai langkah untuk meningkatkan keberkesanan penyampaian subsidi kepada golongan sasar.
Kajian ini akan meliputi program subsidi utama di KPDNHEP termasuk: (i) Program Skim Penstabilan Harga Minyak Masak; (ii) Program Subsidi Tepung Gandum Kegunaan Am;
(iii) Program Pengedaran Barang Perlu; dan (iv) Program Penyeragaman Harga Sabah, Sarawak dan Labuan. Kerajaan prihatin dengan kebajikan masyarakat di luar bandar, khususnya untuk mendapatkan barang keperluan asas. Kerajaan akan terus komited untuk meneruskan Program Pengedaran Barang Perlu, LPG dan community drumming serta Program Penyeragaman Harga Sabah, Sarawak dan Labuan. Untuk memastikan masyarakat di luar bandar akan dapat menikmati harga yang sama di bandar tanpa perlu menanggung kos-kos pengangkutan dan pengedaran. Sekian, terima kasih."
3,0,1,9d9ff2,Terima kasih. Soalan tambahan pertama.
4,0,1,1b81cb,"Terima kasih Yang Berhormat Menteri. Soalan tambahan saya adalah apakah kesan kepada Program Skim Penstabilan Harga Minyak Masak (COSS), sekiranya harga minyak sawit mentah crude palm oil terus melambung naik. Terima kasih."
5,0,1,9d9ff2,Terima kasih. Dipersilakan Yang Berhormat Menteri.
6,0,1,59203a,"Tuan Yang di-Pertua, Yang Berhormat Betong, sebenarnya keadaan sekarang harga crude palm oil (CPO) satu tan metrik di peringkat global telah melambung naik. Apabila kita meletakkan threshold subsidi beberapa tahun sebelum ini. Ini terletak di tahap 2,500 metrik tan CPO tetapi sekarang sudah berlipat kali ganda lebih RM5,000 satu metrik tan CPO.
Jadi, sekiranya harga minyak sawit mentah terus melambung, ia sudah tentu akan memberi kesan kepada perbelanjaan kerajaan bagi pelaksanaan Program Skim Penstabilan Harga Minyak Masak ini. Sepertimana semua sedia maklum, purata harga minyak sawit mentah dilaporkan telah mencecah seperti yang telah saya sebut tadi RM5,000 bagi setiap tan metrik.
Jadi, sebagai kerajaan yang prihatin, kerajaan seharusnya akan melihat kepada kaedah lain bagi memastikan bekalan minyak masak sawit mencukupi di pasaran dan juga memastikan minyak masak selalunya dapat dijual secara runcit pada harga yang tidak membebankan pengguna, khususnya kumpulan B40 ini. Jadi, pertamanya tumpuan harus diberikan kepada— untuk memastikan kumpulan sasar ini dijamin bekalan minyak masak dengan memastikan bekalan sedia ada mencukupi untuk kumpulan ini. Ini yang amat penting.
Tuan Yang di-Pertua, sebenarnya kementerian ini sedang melihat beberapa idea dan kita mendengar semasa perbahasan kita juga mendapat idea daripada Yang Berhormat Kulim-Bandar Baharu, di mana Yang Berhormat mencadangkan two-tier, dua peringkat harga kita boleh laksanakan tetapi ini juga kita kaji. Mungkin idea itu bagus juga ya. Sekian, terima kasih."
7,0,1,9d9ff2,Yang Berhormat Ketua Pembangkang.
8,0,1,9d4f1f,[Berdiri]
9,0,1,5c830c,Terima kasih Tuan Yang di-Pertua dan tahniah atas pengiktirafan dan penganugerahan.
