new_author_id,full_name,name,birth_year,ethnicity,sex
6000,SANISVARA NETHAJI RAYER AL RAJAJI,SANISVARA NETHAJI RAYER A/L RAJAJI,1971,,m
6001,KHAIRIL NIZAM BIN KHIRUDIN,KHAIRIL NIZAM KHIRUDIN,1979,,m
6002,LARRY SNG WEI SHIEN,LARRY SNG WEI SHIEN,1979,,m
6003,TUAN IBRAHIM BIN TUAN MAN,TUAN IBRAHIM TUAN MAN,1960,,m
6004,TAN KOK WAI,TAN KOK WAI,1957,,m
6005,YEO BEE YIN,YEO BEE YIN,1983,,f
6006,ISMAIL SABRI BIN YAAKOB,ISMAIL SABRI YAAKOB,1960,,m
6007,TAN HONG PIN,TAN HONG PIN,1981,,m
6008,LIEW CHIN TONG,LIEW CHIN TONG,1977,,m
6009,STEVEN SIM CHEE KEONG,STEVEN SIM CHEE KEONG,1982,,m
6010,AHMAD ZAHID BIN HAMIDI,AHMAD ZAHID HAMIDI,1953,,m
6011,AARON AGO ANAK DAGANG,AARON AGO DAGANG,1958,,m
6012,HAJI ADLY BIN ZAHARI,ADLY ZAHARI,1971,,m
6013,WEE JECK SENG,WEE JECK SENG,1964,,m
6014,TEO NIE CHING,TEO NIE CHING,1981,,f
6015,RUSHDAN BIN RUSMI,RUSHDAN RUSMI,1978,,
6016,KHLIR BIN MOHD NOR,KHLIR MOHD NOR,1958,,m
6017,MOHAMAD BIN ALAMIN,MOHAMAD ALAMIN,1972,,m
6018,WAN HASSAN BIN MOHD RAMLI,WAN HASSAN MOHD RAMLI,1957,,m
6019,AMIRUDIN SHARI,AMIRUDIN SHARI,1980,,m
6020,HANNAH YEOH TSEOW SUAN,HANNAH YEOH TSEOW SUAN,1979,,f
6021,FADHLINA BINTI SIDEK,FADHLINA SIDEK,1977,,f
6022,AHMAD FADHLI BIN SHAARI,AHMAD FADHLI SHAARI,1980,,m
6023,SH MOHMED PUZI BIN SH ALI,SH MOHMED PUZI SH ALI,1957,,m
6024,ZALIHA BINTI MUSTAFA,ZALIHA MUSTAFA,1964,,f
6025,EWON BENEDICK,EWON BENEDICK,1983,,m
6026,LIM GUAN ENG,LIM GUAN ENG,1960,,m
6027,SARASWATHY KANDASAMI,SARASWATHY KANDASAMI,1968,,f
6028,ADAM ADLI BIN ABD HALIM,ADAM ADLI BIN ABD HALIM,1989,,m
6029,AHMAD BIN SAAD,AHMAD YAHAYA,1975,,m
6030,JIMMY PUAH WEE TSE,JIMMY PUAH WEE TSE,,,m
6031,NGA KOR MING,NGA KOR MING,1972,,m
6032,TAN KAR HING,TAN KAR HING,1982,,m
6033,SABRI BIN AZIT,SABRI AZIT,1966,,m
6034,AZMAN BIN NASRUDIN,AZMAN NASRUDIN,1972,,m
6035,ANDI MUHAMMAD SURYADY BIN BANDY,ANDI MUHAMMAD SURYADY BANDY,1981,,m
6036,WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,WAN AHMAD FAYHSAL BIN WAN AHMAD KAMAL,1987,,m
6037,TERESA KOK SUH SIM,TERESA KOK SUH SIM,1964,,f
6038,HALIMAH BINTI ALI,HALIMAH ALI,1960,,f
6039,NIK NAZMI BIN NIK AHMAD,NIK NAZMI BIN NIK AHMAD,1982,,m
6040,HASSAN BIN ABDUL KARIM,HASSAN ABDUL KARIM,1951,,m
6041,ALEXANDER NANTA LINGGI,ALEXANDER NANTA LINGGI,1958,,m
6042,KHOO POAY TIONG,KHOO POAY TIONG,1970,,m
6043,BUNG MOKTAR BIN RADIN,BUNG MOKTAR RADIN,1959,,m
6044,WILLIE ANAK MONGIN,WILLIE MONGIN,,,m
6045,ROSLAN BIN HASHIM,ROSLAN HASHIM,1967,,m
6046,ZULKIFLI BIN ISMAIL,ZULKIFLI ISMAIL,1966,,m
6047,KHAIRUL FIRDAUS BIN AKBAR KHAN,KHAIRUL FIRDAUS AKBAR KHAN,1983,,m
6048,CHONG CHIENG JEN,CHONG CHIENG JEN,1971,,m
6049,HAJI AZLI BIN YUSOF,AZLI YUSOF,1967,,m
6050,ABDUL LATIFF BIN ABDUL RAHMAN,ABDUL LATIFF ABDUL RAHMAN,1971,,m
6051,PANGLIMA MADIUS BIN TANGAU,WILFRED MADIUS TANGAU,1958,,m
6052,SITI MASTURA BINTI MUHAMMAD,SITI MASTURA MUHAMMAD,1989,,f
6053,MOHD RAFIZI BIN RAMLI,RAFIZI RAMLI,1977,,m
6054,MOHD SUHAIMI BIN ABDULLAH,MOHD SUHAIMI ABDULLAH,1966,,m
6055,AHMAD AMZAD BIN MOHAMED,AHMAD AMZAD HASHIM,1970,,m
6056,SYED ABU HUSSIN HAFIZ BIN SYED ABDUL FASAL,SYED ABU HUSSIN HAFIZ SYED ABDUL FASAL,1960,,m
6057,NGEH KOO HAM,NGEH KOO HAM,1961,,m
6058,SHAHARIZUKIRNAIN BIN ABDUL KADIR,SHAHARIZUKIRNAIN ABDUL KADIR,1969,,m
6059,LIM HUI YING,LIM HUI YING,1963,,f
6060,FONG KUI LUN,FONG KUI LUN,1946,,m
6061,MAHIADDIN BIN MD YASIN,MUHYIDDIN YASSIN,1947,,m
6062,WILLIAM LEONG JEE KEEN,WILLIAM LEONG JEE KEEN,1957,,m
6063,SIVAKUMAR AL VARATHARAJU NAIDU,SIVAKUMAR VARATHARAJU NAIDU,1970,,m
6064,ARTHUR JOSEPH KURUP,ARTHUR JOSEPH KURUP,1982,,m
6065,MUMTAZ BINTI MD NAWI,MUMTAZ MD NAWI,1972,,f
6066,JONATHAN BIN YASIN,JONATHAN YASIN,1967,,m
6067,WAN SAIFULRUDDIN BIN WAN JAN,WAN SAIFUL WAN JAN,1976,,m
6068,HUANG TIONG SII,HUANG TIONG SII,,,m
6069,RODIYAH BINTI SAPIEE,RODIYAH SAPIEE,1978,,f
6070,ARMIZAN BIN MOHD ALI,ARMIZAN MOHD ALI,1976,,m
6071,MOHD NAZRI BIN ABU HASSAN,MOHD NAZRI ABU HASSAN,1970,,
6072,NIK MUHAMMAD ZAWAWI BIN SALLEH,NIK MOHAMAD ZAWAWI SALLEH,1967,,m
6073,JAMALUDIN BIN YAHYA,JAMALUDIN YAHYA,1971,,m
6074,ANTHONY LOKE SIEW FOOK,ANTHONY LOKE SIEW FOOK,1977,,m
6075,RODZIAH BINTI ISMAIL,RODZIAH ISMAIL,1964,,f
6076,SIM TZE TZIN,SIM TZE TZIN,1976,,m
6077,MOHD SYAHIR BIN CHE SULAIMAN,SYAHIR SULAIMAN,1983,,m
6078,MOHD ISAM BIN MOHD ISA,MOHD ISAM MOHD ISA,1969,,m
6079,JALALUDDIN BIN ALIAS,JALALUDDIN ALIAS,1963,,m
6080,HAJI AMINOLHUDA BIN HASSAN,AMINOLHUDA BIN HASSAN,1959,,m
6081,MAS ERMIEYATI BINTI SAMSUDIN,MAS ERMIEYATI SAMSUDIN,1976,,f
6082,VIVIAN WONG SHIR YEE,VIVIAN WONG SHIR YEE,1989,,f
6083,AHMAD FAKHRUDDIN BIN FAKHRURRAZI,AHMAD FAKHRUDDIN FAKHRURAZI,1971,,m
6084,CHIEW CHOON MAN,CHIEW CHOON MAN,1991,,m
6085,NORAINI BINTI AHMAD,NORAINI AHMAD,1967,,f
6086,MUHAMMAD BAKHTIAR BIN WAN CHIK,MUHAMMAD BAKHTIAR WAN CHIK,1965,,m
6087,CHANG LIH KANG,CHANG LIH KANG,1980,,m
6088,AZALINA BINTI OTHMAN SAID,AZALINA BINTI OTHMAN SAID,1963,,f
6089,KELVIN YII LEE WUEN,KELVIN YII LEE WUEN,1986,,m
6090,IKMAL HISHAM BIN ABDUL AZIZ,IKMAL HISHAM BIN ABDUL AZIZ,1965,,m
6091,SITI AMINAH BINTI ACHING,SITI AMINAH ACHING,1962,,f
6092,WONG KAH WOH,WONG KAH WOH,1980,,m
6093,RICHARD RIOT ANAK JAEM,RICHARD RIOT JAEM,1951,,m
6094,MOHD SANY HAMZAN,MOHD SANY HAMZAN,1978,,m
6095,SHAHIDAN BIN KASSIM,SHAHIDAN KASSIM,1951,,m
6096,ZAHARI BIN KECHIK,ZAHARI KECHIK,1961,,m
6097,VERDON BIN BAHANDA,VERDON BAHANDA,,,m
6098,PRABAKARAN AL M PARAMESWARAN,PRABAKARAN PARAMESWARAN,1996,,m
6099,MOHAMAD SHAFIZAN BIN KEPLI,MOHAMAD SHAFIZAN KEPLI,1985,,m
6100,WONG CHEN,WONG CHEN,1968,,m
6101,SYERLEENA BINTI ABDUL RASHID,SYERLEENA ABDUL RASHID,1980,,f
6102,AFNAN HAMIMI BIN TAIB AZAMUDDEN,AFNAN HAMIMI,1981,,m
6103,FATHUL HUZIR BIN AYOB,FATHUL HUZIR BIN AYOB,1983,,m
6104,ABDUL RAHMAN BIN HAJI MOHAMAD,ABDUL RAHMAN MOHAMAD,1964,,m
6105,JOHARI BIN ABDUL GHANI,JOHARI ABDUL GHANI,1964,,m
6106,HAJI AKMAL NASRULLAH BIN MOHD NASIR,AKMAL NASIR,1986,,m
6107,RONALD KIANDEE,RONALD KIANDEE,1961,,m
6108,WETROM BIN BAHANDA,WETROM BAHANDA,1970,,m
6109,HAJI DZULKEFLY BIN AHMAD,DZULKEFLY AHMAD,1956,,m
6110,MOHD SHAFIE BIN APDAL,MOHD SHAFIE APDAL,1957,,m
6111,KESAVAN AL SUBRAMANIAM,KESAVAN SUBRAMANIAM,1975,,m
6112,MOHD HASNIZAN BIN HARUN,MOHD HASNIZAN HARUN,,,m
6113,SUHAIMI BIN NASIR,SUHAIMI NASIR,1969,,m
6114,TIONG KING SING,TIONG KING SING,1961,,m
6115,JEFFREY GAPARI KITINGAN,JEFFREY KITINGAN,1947,,m
6116,GOBIND SINGH DEO,GOBIND SINGH DEO,1973,,m
6117,SALAMIAH BINTI MOHD NOR,SALAMIAH MOHD NOR,1964,,f
6118,AMINUDDIN HARUN,AMINUDDIN HARUN,1967,,m
6119,AZAHARI BIN HASAN,AZAHARI HASAN,,,
6120,IDRIS BIN AHMAD,IDRIS AHMAD,1963,,m
6121,EDWIN ANAK BANTA,EDWIN BANTA,1965,,m
6122,MOHD RADZI BIN MD JIDIN,RADZI JIDIN,1977,,m
6123,MOHAMMAD YUSOF BIN APDAL,YUSOF APDAL,1960,,m
6124,RAMLI BIN MOHD NOR,RAMLI MOHD NOR,1958,,m
6125,TAKIYUDDIN BIN HASSAN,TAKIYUDDIN HASSAN,1961,,m
6126,SHAMSHULKAHAR BIN MOHD DELI,SHAMSHULKAHAR MOHD DELI,1961,,m
6127,ZULKAFPERI HANAPI,ZULKAFPERI HANAPI,1981,,m
6128,AHMAD FAHMI BIN MOHAMED FADZIL,FAHMI FADZIL,1981,,m
6129,HAJI ONN BIN ABU BAKAR,ONN ABU BAKAR,1981,,m
6130,ZAKRI BIN HASSAN,ZAKRI HASSAN,,,m
6131,ABDUL KHALIB BIN ABDULLAH,ABDUL KHALIB ABDULLAH,,,m
6132,YUSUF BIN ABD WAHAB,YUSUF ABDUL WAHAB,1963,,m
6133,MOHD AZIZI BIN ABU NAIM,MOHD AZIZI ABU NAIM,,,m
6134,CHAN FOONG HIN,CHAN FOONG HIN,1978,,m
6135,MUHAMMAD ISMI BIN MAT TAIB,MUHAMMAD ISMI MAT TAIB,1974,,m
6136,SARAVANAN AL MURUGAN,SARAVANAN MURUGAN,1968,,m
6137,HAJI MOHAMAD BIN SABU,MOHAMAD SABU,1954,,m
6138,ROY ANGAU ANAK GINGKOI,ROY ANGAU GINGKOI,1979,,m
