record_id,author_id,party,area_id,exec_posts,service_posts,start_date,end_date
1,6000,DAP,,,,01/01/1988,
2,6001,PAS,,,,01/06/2019,
3,6002,PBDS,,,,01/01/2001,01/01/2004
4,6002,PRS,,,,01/01/2004,01/01/2007
5,6002,IND,,,,01/01/2007,01/01/2013
6,6002,SWP,,,,01/01/2012,01/01/2017
7,6002,PKR,,,,01/01/2019,01/01/2021
8,6002,IND,,,,01/01/2021,01/01/2021
9,6002,PBM,,,,01/01/2021,
10,6003,PAS,,,,01/01/1999,
11,6004,DAP,,,,01/01/1979,
12,6005,DAP,,,,01/08/2012,
13,6006,UMNO,,,,,
14,6007,DAP,,,,,
15,6008,DAP,,,,01/01/1999,
16,6009,DAP,,,,,
17,6010,UMNO,,,,01/01/1973,
18,6011,SPDP,,,,,
19,6011,PRS,,,,,
20,6012,PAS,,,,,01/01/2015
21,6012,AMANAH,,,,01/01/2015,
22,6013,MCA,,,,,
23,6014,DAP,,,,,
24,6015,PAS,,,,01/11/2022,
25,6016,BERSATU,,,,,
26,6017,UMNO,,,,,
27,6018,PAS,,,,01/11/1999,
28,6019,PKR,,,,,
29,6020,DAP,,,,01/01/2006,
30,6021,PKR,,,,01/01/2020,
31,6022,PAS,,,,01/06/2019,
32,6023,UMNO,,,,,
33,6024,PKR,,,,01/01/2003,
34,6024,ADIL,,,,01/01/1999,01/01/2003
35,6025,UPKO,,,,,
36,6026,DAP,,,,,
37,6027,PKR,,,,01/07/2022,
38,6028,PKR,,,,01/01/2021,
39,6029,PAS,,,,,
40,6030,PKR,,,,,
41,6031,DAP,,,,01/01/1999,
42,6032,PKR,,,,,
43,6033,PAS,,,,,
44,6034,PKR,,,,01/05/2013,12/05/2020
45,6034,BERSATU,,,,12/05/2020,
46,6035,UMNO,,,,,
47,6036,BERSATU,,,,,
48,6037,DAP,,,,,
49,6038,PAS,,,,,
50,6039,PKR,,,,,
51,6040,,,,,01/01/1978,15/11/2009
52,6040,PKR,,,,01/11/2009,
53,6041,PBB,,,,,
54,6042,DAP,,,,,
55,6043,UMNO,,,,,
56,6044,PKR,,,,01/01/2009,01/01/2020
57,6044,PBB,,,,01/01/2022,
58,6045,BERSATU,,,,,
59,6046,PAS,,,,,
60,6047,GRS,,,,01/01/2022,
61,6047,BERSATU,,,,01/01/2019,01/01/2022
62,6047,UMNO,,,,,01/01/2018
63,6048,DAP,,,,,
64,6049,PAS,,,,01/01/1991,01/01/2015
65,6049,AMANAH,,,,01/01/2015,
66,6050,PAS,,,,,
67,6051,UPKO,,,,,
68,6052,PAS,,,,,
69,6053,ADIL,,,,01/01/1998,01/01/2003
70,6053,PKR,,,,01/01/2003,
71,6054,BERSATU,,,,28/11/2018,
72,6054,UMNO,,,,,28/11/2018
73,6055,PAS,,,,,
74,6056,UMNO,,,,,01/01/2018
75,6056,IND,,,,01/01/2018,30/06/2020
76,6056,BERSATU,,,,01/06/2020,12/06/2024
77,6056,IND,,,,12/06/2024,
78,6057,DAP,,,,,
79,6058,PAS,,,,01/11/1999,
80,6059,DAP,,,,,
81,6060,DAP,,,,,
82,6061,UMNO,,,,01/01/1971,24/06/2016
83,6061,BERSATU,,,,08/09/2016,
84,6062,PKR,,,,,
85,6063,DAP,,,,01/01/1997,
86,6064,PBRS,,,,,
87,6065,PAS,,,,,
88,6066,PKR,,,,01/01/2008,01/01/2020
89,6066,BERSATU,,,,01/01/2020,01/01/2022
90,6066,GRS,,,,01/01/2022,
91,6067,PAS,,,,,
92,6067,BERSATU,,,,,
93,6068,SUPP,,,,01/01/1973,
94,6069,PBB,,,,,
95,6070,GRS,,,,01/01/2022,
96,6070,BERSATU,,,,01/01/2019,01/01/2022
97,6070,UMNO,,,,,01/01/2019
98,6071,BERSATU,,,,,
99,6072,PAS,,,,,
100,6073,PAS,,,,,
101,6074,DAP,,,,01/01/1994,
102,6075,PKR,,,,,
103,6076,PKR,,,,,
104,6077,PAS,,,,01/01/2011,
105,6078,UMNO,,,,,
106,6079,UMNO,,,,01/03/2023,
107,6080,AMANAH,,,,01/09/2015,
