level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,10.00 pagi,1000,ANNOTATION,[Tuan Yang di-Pertua mempengerusikan Mesyuarat]
MENGANGKAT SUMPAH DUA ORANG AHLI,,,10.00 pagi,1000,,Ahli Yang Berhormat yang tersebut di bawah ini telah mengangkat sumpah:
MENGANGKAT SUMPAH DUA ORANG AHLI,LANTIKAN BAHARU,,10.00 pagi,1000,,"1. Yang Berhormat Senator Dr. Yaakob bin Sapari
2. Yang Berhormat Senator Tuan Suresh Singh A/L Rashpal Singh"
MENGANGKAT SUMPAH DUA ORANG AHLI,LANTIKAN BAHARU,,10.00 pagi,1000,ANNOTATION,[Upacara Mengangkat Sumpah tamat]
MENGANGKAT SUMPAH DUA ORANG AHLI,"PEMASYHURAN TUAN YANG DI-PERTUA
MENGALU-ALUKAN PELANTIKAN DUA ORANG AHLI BAHARU",,10.00 pagi,1000,Tuan Yang di-Pertua,"Salam sejahtera Ahli-ahli Yang Berhormat. Di kesempatan
ini saya merakamkan ucapan setinggi-tinggi tahniah, dan Dewan yang mulia ini mengalu-
alukan pelantikan Yang Berhormat Senator Dr. Yaakob bin Sapari dan Yang Berhormat
Senator Tuan Suresh Singh A/L Rashpal Singh. Kedua-dua Ahli Yang Berhormat adalah
pilihan Dewan Undangan Negeri Selangor, mengikut Perkara 45(1)(a), Perlembagaan
Persekutuan..."
MENGANGKAT SUMPAH DUA ORANG AHLI,"PEMASYHURAN TUAN YANG DI-PERTUA
MENGALU-ALUKAN PELANTIKAN DUA ORANG AHLI BAHARU",,10.00 pagi,1000,ANNOTATION,[Tepuk]
MENGANGKAT SUMPAH DUA ORANG AHLI,"PEMASYHURAN TUAN YANG DI-PERTUA
MENGALU-ALUKAN PELANTIKAN DUA ORANG AHLI BAHARU",,10.00 pagi,1000,Tuan Yang di-Pertua,"Adalah menjadi harapan saya agar kedua-dua Ahli Yang Berhormat akan mematuhi
ikrar taat setia seperti mana yang dilafazkan sebentar tadi, terutamanya kepada prinsip-
prinsip yang termaktub di dalam Rukun Negara yang menekankan antara lain, keluhuran
Perlembagaan, kedaulatan undang-undang serta keperibadian mulia yang menjiwai amalan
Raja Berperlembagaan dan Demokrasi Berparlimen."
MENGANGKAT SUMPAH DUA ORANG AHLI,"PEMASYHURAN TUAN YANG DI-PERTUA
MENGALU-ALUKAN PELANTIKAN DUA ORANG AHLI BAHARU",,■1010,1010,Tuan Yang di-Pertua,"Selanjutnya, saya percaya bahawa dengan pelantikan Ahli-ahli Yang Berhormat
pada pagi ini sebagai ahli badan Legislatif tertinggi negara akan membantu ke arah
memperkasakan imej Parlimen Malaysia sebagai sebuah institusi perundangan yang
berwibawa dan disanjung tinggi di persada antarabangsa. Saya juga sering mengingatkan
semua Ahli-ahli Yang Berhormat supaya perbahasan haruslah menekan kepada isu-isu
berkepentingan rakyat dan sama sekali mengelakkan menjadikan Dewan yang mulia ini
sebagai medan politik. Ketepikan fahaman politik berasaskan parti dan pastikan perbahasan
yang kualiti yang boleh menyumbang kepada proses pembinaan negara.
Pada masa yang sama, saya juga berharap Ahli-ahli yang berpengalaman di dalam
Dewan yang mulia ini dapat membantu Ahli-ahli baharu, terutamanya dalam soal Peraturan
Mesyuarat, Majlis Mesyuarat Dewan Negara. Dalam pada itu, Ahli-ahli Yang Berhormat juga
digalakkan terlibat dalam program-program anjuran pihak urus setia Parlimen sama ada
program di dalam negeri ataupun program-program dengan kerjasama Pertubuhan Parlimen
Serantau dan Antarabangsa. Akhir sekali, saya amat berharap agar Ahli-ahli Yang Berhormat
akan sentiasa mendukung visi rakyat ke arah membina sebuah negara yang maju dan
progresif dalam semua aspek pembangunan."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,"Dipersilakan Yang Berhormat Senator Tuan Haji Muhammad
bin Mustafa.
**1. Tuan Haji Muhammad bin Mustafa** minta Menteri Pembangunan Wanita, Keluarga
dan Masyarakat menyatakan, apakah usaha kerajaan dalam menyelesaikan dilema ibu
bekerja yang menghadapi masalah untuk menghantar anak ke pusat asuhan yang selamat."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,"Timbalan Menteri Pembangunan Wanita, Keluarga dan Masyarakat [Puan Hannah Yeoh]","Terima kasih Tuan Yang di-Pertua. Kementerian melalui Jabatan Kebajikan
Masyarakat telah diberi tanggungjawab menguatkuasakan Akta Taman Asuhan Kanak-kanak
1984 dan Peraturan-peraturan Taman Asuhan Kanak-kanak 2011. Setiap pengusaha taman
asuhan kanak-kanak hendaklah mematuhi keperluan dan kehendak yang dinyatakan di
dalam peraturan yang telah ditetapkan.
Bagi memastikan tahap penyampaian perkhidmatan taman asuhan kanak-kanak
yang dikendalikan oleh pengusaha berada di tahap keselamatan yang tinggi, kementerian
melalui JKM juga menjalankan pemantauan ke taska berkaitan. Di antara bentuk pemantauan
yang dijalankan ialah:
(i) mengesan taska yang tidak berdaftar secara berterusan;
(ii) menjalankan pemeriksaan berkala dan mengejut ke taska oleh
pegawai yang diberi kuasa;
(iii) JKM membimbing pengasuh dan memberi maklumat tentang
Kursus Asuhan PERMATA dan program seminar taklimat
berkaitan pengasuhan dan pendidikan awal kanak-kanak melalui
42 agensi latihan yang telah diiktiraf oleh JKM;
(iv) JKM juga mengadakan pelbagai program untuk meningkatkan
kesedaran masyarakat dan ibu bapa tentang kepentingan dan
kelebihan menghantar anak ke taska yang berdaftar dengan JKM.
Baru-baru ini juga kementerian telah pun melancarkan info grafik
bagi membimbing ibu bapa mengenai pemilihan pengasuh; dan
(v) satu bengkel pindaan Akta Taman Asuhan Kanak-kanak telah
diadakan pada 11 Julai 2018 bagi memantapkan kawal selia taska
di seluruh Malaysia.
Manakala, untuk tindakan penguatkuasaan yang telah diambil daripada tahun 2014
sehingga Jun tahun 2018, JKM telah mengeluarkan arahan bertulis kepada 123 buah taska,
tindakan lak pada 24 buah taska, 62 buah taska dikenakan tindakan kompaun, 11 buah taska
ditutup sementara, 235 buah taska dibatalkan pendaftaran dan 28 buah taska telah pun
didakwa.
Semua agensi kerajaan telah diwajibkan untuk menubuhkan taska menjelang 1
Januari 2019. Oleh itu, JKM telah menubuhkan pasukan *task force* di kalangan pegawai diberi
kuasa taska bagi membuat audit dan memberikan khidmat nasihat teknikal kepada semua
agensi kerajaan bagi memastikan taska di tempat kerja disediakan, terutamanya yang
mempunyai waktu syif.
Hasil daripada pengauditan tersebut, didapati masih terdapat tiga kementerian yang
belum menubuhkan taska iaitu Kementerian Air, Tanah dan Sumber Asli, Kementerian
Tenaga Sains, Teknologi Alam Sekitar dan Perubahan Iklim dan Kementerian Hal Ehwal
Ekonomi. Melalui peruntukan Bajet 2019, kementerian ini diberi tanggungjawab
menguruskan peruntukan RM10 juta yang disediakan kepada 50 buah taska di tempat
bangunan kerajaan bagi menggalakkan penubuhan taska di tempat kerja akan bertambah
dan menambahkan kapasiti kanak-kanak di taska di tempat kerja yang boleh mengurangkan
kerisauan dan dilema ibu bapa untuk menghantar anak-anak ke taska.
Bagi tujuan ini juga, kementerian telah melaksanakan beberapa langkah dan inisiatif
baharu dalam menggalakkan majikan menyediakan taman asuhan kanak-kanak di tempat
kerja sektor awam dan swasta seperti berikut. Kementerian ini juga menggalakkan sektor
swasta untuk bersama-sama mewujudkan taska di tempat kerja, khususnya kepada badan
korporat dan turut melaksanakan tanggungjawab sosial- CSR, untuk memberi peluang
kepada golongan B40 yang bekerja berhampiran untuk menghantar anak ke taska tersebut.
Kementerian ini juga masih sedang berbincang dengan syarikat utiliti untuk
mengurangkan kadar tarif bagi kos operasi taska. Sebagai kesimpulan, *task force audit*
pemutihan di Putrajaya masih sedang dilaksanakan dan hasilnya nanti akan dijadikan rujukan
untuk dilaksanakan di seluruh negara. Terima kasih Tuan Yang di-Pertua."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Haji Muhammad bin Mustafa,"Terima kasih Yang Berhormat Timbalan
Menteri. Soalan tambahan saya ialah berapakah jumlah taska yang berdaftar dengan
kementerian setakat ini dan berapa jumlah anak-anak asuhan? Kedua, sejauh manakah
penglibatan pekerja-pekerja atau pengasuh dari- kepada luar negara ataupun orang asing
yang terlibat dengan taska ini? Sekian, terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Hannah Yeoh,"Tuan Yang di-Pertua, soalan pertama saya boleh jawab tetapi
soalan kedua agak spesifik, saya minta diberikan secara bertulis kepada Yang Berhormat
Senator. Untuk taksa berdaftar, anggaran yang kita ada sekarang hanya 10 peratus daripada
taska di luar sana berdaftar dengan JKM. Jumlah yang berdaftar, yang kita ada adalah 4,412
taska dan saya telah jawab secara menyeluruh dalam sidang yang lepas bagaimana kita
mempunyai kekangan dalam mendapatkan 90 peratus yang lain untuk datang berdaftar. Oleh
sebab itu, kita sedang berbincang dengan syarikat utiliti untuk membantu penyelarasan bagi
menyenangkan proses pendaftaran bagi taska-taska tersebut. Terima kasih Tuan Yang di-
Pertua."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,"Yang Berhormat Timbalan Menteri, yang soalan kedua
berkenaan dengan bilangan anak dalam asuhan?"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Hannah Yeoh,"Saya tidak ada juga- agak spesifik dan soalan mengenai
warga asingkan? Pekerja warga asing?"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,"Itu nombor dua, yang bilangan kanak-kanak?"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Hannah Yeoh,"Saya tidak ada- agak spesifik, Tuan Yang di-Pertua."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,Dalam merangkumi soalan.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Hannah Yeoh,Saya bagi secara bertulis. Terima kasih.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,"Terima kasih Yang Berhormat Timbalan Menteri, silakan."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Raj Munni binti Sabu,"*Assalamualaikum warahmatullaahi wabarakaatuh*.
Terima kasih Tuan Yang di-Pertua.
Soalan tambahan saya kepada Yang Berhormat Timbalan Menteri ialah, apakah
pihak kementerian akan mengambil langkah segera untuk memastikan setiap pengasuh
melalui ujian saringan ataupun mewujudkan satu modul khas kepada pengasuh-pengasuh
supaya mereka boleh dibantu dari sudut memperlengkapkan *anger management*. Terima
kasih Tuan Yang di-Pertua."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,Silakan Yang Berhormat Timbalan Menteri.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Hannah Yeoh,"Tuan Yang di-Pertua, bagi soalan *anger management* dan
saringan untuk pengasuh-pengasuh. Kementerian dalam proses mengkaji dan *review.*
Kursus yang diberikan kepada pengasuh sekarang ini, anggaran hari yang mereka perlu
datang untuk menghadiri kursus adalah 28 hari. Akan tetapi kita juga ada modul yang lebih
singkat untuk- bagi pengasuh yang bekerja dengan taksa yang berdaftar, kemungkinan
mereka tidak perlu melalui kursus seperti *financial management.*
Jadi, untuk pengasuh yang bukan operator, mungkin kita hendak pendekkan untuk
pastikan latihan mereka lebih efektif dan mereka tidak datang untuk 28 hari tetapi hanya
duduk dan melalui silibus yang tidak relevan kepada mereka.
Untuk pemantauan pengasuh ini, kita sudah berbincang dengan Persatuan
Pengasuh Berdaftar dan *Early Childhood Council* (ECCE), dan kita telah dapati bahawa untuk
yang menjaga kurang daripada empat orang kanak-kanak, pengasuh *informal care* di rumah,
kawan, saudara mara, golongan ini memang sukar untuk kita pantau di seluruh Malaysia.
Oleh sebab itu, kita telah melancarkan info grafik bagi membimbing ibu bapa sendiri
dalam pemilihan. Kita juga telah sarankan melalui banyak *media statement* kepada ibu bapa
supaya tidak memilih pengasuh secara talian *online*, jangan cari dalam *Facebook*, kita kena
gunakan pengasuh melalui *personal recommendation,* daripada kawan-kawan yang kita
percayai. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,Tiada kursus spesifik?
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Puan Hannah Yeoh,"Ada kursus, 28 hari KAP, kita ada. Akan tetapi kita sedang
*review timeline* itu untuk pastikan kita dapat menggalakkan lebih untuk menghadiri kursus
tersebut. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1010,1010,Tuan Yang di-Pertua,"Terima kasih Yang Berhormat Timbalan Menteri. Silakan
Yang Berhormat Senator Dato’ Hajah Fahariyah binti Hj Md Nordin."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Dato' Hajah Fahariyah binti Hj Md Nordin,"Terima kasih, Tuan Yang di-Pertua,
terima kasih kepada Yang Berhormat Menteri menjawab soalan saya yang saya rasa agak
detil. Cuma persoalannya saya tanya berkenaan dengan ruang TASKA ini sebab kita tengok
banyak bangunan antara kekangan yang diadakan taska untuk bangunan-bangunan pejabat
terutamanya bangunan pejabat lama adalah ruang yang mana ruang itu mengikut *specs* yang
dibenarkan oleh bomba dan sebagainya.
Contohnya, TASKA kena di tingkat bawah kalau bangunan tinggi. Kemudian ada
akses keselamatan dan sebagainya. Kalau kita tengok banyak bangunan yang sedia ada
sekarang terutamanya pejabat-pejabat tidak ada ruang-ruang seperti itu mengikut spesifikasi.
Maka saya hendak tanya kepada pihak kerajaan, adakah kerajaan bercadang untuk
satu, mewajibkan setiap bangunan yang baru dibina dalam perancangan dan sebagainya
mewajibkan ruang untuk TASKA, memudahkan ibu-ibu yang bekerja di bangunan tersebut
untuk menghantar anak?
Kedua, apakah cara bagaimana kerajaan bercadang untuk mengatasi isu ini yang
mana bangunan-bangunan lama tidak mempunyai ruang yang sesuai untuk dijadikan TASKA
di bangunan-bangunan? Terima kasih, Tuan Yang di-Pertua."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Tuan Yang di-Pertua,Yang Berhormat ini adalah berkenaan dengan bangunan?
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Puan Hannah Yeoh,"Akan tetapi, saya boleh menjawab Tuan Yang di-Pertua
kerana saya tahu fasal kes ini.
Okey, terima kasih Yang Berhormat, memang kita dalam perbincangan dengan
KPKT mengenai penyelarasan dan untuk tujuan pendaftaran untuk kita dapatkan 90 peratus
di luar sana untuk berdaftar. Jadi, pilot projek kita di Putrajaya sangat penting untuk JKM dan
kementerian- penemuan itu kita akan duduk bersama dan melihat kenapa 90 peratus di luar
tidak boleh berdaftar.
Mereka memang mempunyai banyak kekangan teknikal seperti yang saya telah
jelaskan- tidak dapat sokongan daripada jiran sebelah dan juga sekarang ini kita dalam
proses untuk menggalakkan majikan membina TASKA di tempat kerja.
Jadi, ada permintaan ataupun soalan yang datang daripada industri perkilangan di
mana mereka mempunyai banyak warga kilang mereka, wanita dan mempunyai anak tetapi
adakah kilang merupakan satu tempat yang sesuai untuk kita bina taska. Jadi, isu-isu spesifik
dan teknikal ini kita sudah ada satu kumpulan, *task force* untuk melihat penemuan di
Putrajaya yang kita boleh lalui dan kita kena atasi semua kekangan teknikal itu supaya kita
boleh implementasikan di seluruh Malaysia. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Dato’ Haji Mohd Suhaimi bin Abdullah,
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,ANNOTATION,[Bangun]
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Tuan Yang di-Pertua,"Sudah cukup Yang Berhormat tiga orang. Silakanlah, Datuk
Suhaimi ini susah sikit."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Dato’ Haji Mohd Suhaimi bin Abdullah,"Terima kasih, Tuan Yang di-Pertua, saya
hendak bertanya kepada kementerian, kepada Yang Berhormat Menteri kerana banyak
terdapat ibu-ibu yang terlibat dengan dadah yang mempunyai anak dan mereka ini
dimasukkan ke dalam pusat-pusat pemulihan, *rehab center.*
Kalau di luar negara kerajaan mereka sudah mula prihatin dengan anak-anak yang
hendak dibesarkan oleh pusat latihan ini. Jadi, saya hendak bertanya kepada Yang
Berhormat Menteri, apakah kerajaan bercadang akan mengadakan tadika di dalam pusat-
pusat *rehab center* ataupun penjara untuk ibu-ibu yang mempunyai anak kecil ini? Terima
kasih, Tuan Yang di-Pertua."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Tuan Yang di-Pertua,"Walaupun dadah itu luar tetapi adakah mengadakan tadika
dalam penjara dan sebagainya?"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,,,■1020,1020,Puan Hannah Yeoh,"Untuk menjawab soalan seperti ini memang senang- kerajaan
akan kata kita akan mengkaji cadangan yang baik tetapi kita kena lihat dan bincang dulu
dengan pihak berkuasa, di tempat-tempat seperti ini sama ada sesuai ataupun tidak untuk
membawa anak-anak masuk ke tempat tersebut.
Seperti *detention center* juga, Imigresen kita juga telah menjalankan proses dialog
dengan pusat Imigresen untuk melihat bukan sahaja warga Malaysia tetapi kanak-kanak
warga asing yang ditahan, *unaccompanied minor* dalam *detention center* sama ada kita
hendak keluarkan ataupun kita hendak pastikan mereka tinggal di situ bersama kawan-kawan
atau ibu bapa yang ada dalam pusat tahanan.
Jadi dalam proses ini kita kena pertimbangkan, *what is in the best interest of the
child*? Memang kita sudah mula perbincangan dengan pusat Imigresen. Hasrat kementerian
adalah untuk mewujudkan satu negara, satu Malaysia yang lebih selamat untuk semua
kanak-kanak bukan sahaja kanak-kanak Malaysia tetapi kanak-kanak warga asing juga. Itu
adalah tanggungjawab kita untuk menjaga mereka kerana mereka masih kecil dan tidak boleh
menjaga kebajikan sendiri. Terima kasih."
