level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,10.00 pagi,1000,,"[Timbalan Yang di-Pertua (Datuk Ronald Kiandee)
**mempengerusikan Mesyuarat**]"
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,10.00 pagi,1000,Datuk Nur Jazlan Mohamed [Pulai],"minta Perdana Menteri menyatakan, jumlah
pendatang asing yang telah didaftar sebagai pengundi menggunakan kad pengenalan tidak
sah seperti yang dilaporkan dalam media. Sila jelaskan tindakan susulan Suruhanjaya
Pilihan Raya untuk menyelesaikan masalah ini."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,10.00 pagi,1000,Menteri di Jabatan Perdana Menteri [Dato' Seri Mohamed Nazri Abdul Aziz],"Tuan Yang di-Pertua, untuk makluman Ahli Yang Berhormat tiada pendatang asing yang
didaftarkan sebagai pemilih kerana pengesan utama yang digunakan dalam menentukan
kelayakan permohonan sebagai pemilih ialah kad pengenalannya. Perlu dijelaskan bahawa
ketika proses pendaftaran pemilih melalui Sistem Pendaftaran Pemilih Sepanjang Tahun
iaitu e-SPPST yang diguna pakai oleh Suruhanjaya Pilihan Raya, pengenalan pemohon
akan dihubung kait dengan Agency Link-Up System (ALIS), Jabatan Pendaftaran Negara.
Jika ada sebarang cubaan untuk mendaftar permohonan yang tidak sah, sistem yang sedia
ada akan menolak transaksi atau kemasukan data itu secara automatik.
Ini kerana tapisan dan semakan yang dilaksanakan oleh sistem ALIS bukan sahaja
menolak mereka yang bukan warganegara. Malah ia juga menolak permohonan daripada
mereka yang belum layak dari segi umur dan yang mengemukakan kad pengenalan palsu.
Oleh yang demikian jika ada pihak tertentu yang mempunyai sebarang bukti berhubung
dengan pendatang asing yang didaftarkan sebagai pemilih diharapkan dapat
mengemukakan kepada pihak Suruhanjaya Pilihan Raya bagi membolehkan siasatan
dilakukan."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,10.00 pagi,1000,Datuk Nur Jazlan Mohamed [Pulai],"Terima kasih Yang Berhormat Menteri. Saya
sebenarnya telah dimaklumkan bahawa ada pendatang asing Bangladesh yang telah cuba
didaftarkan sebagai pengundi oleh agen-agen parti tertentu. Sudah tentu ini merupakan
satu kesalahan. Soalan tambahan saya adalah apakah tindakan, adakah tindakan ini
menyalahi undang-undang dan apakah tindakan yang boleh diambil oleh kerajaan untuk
menghukum agen-agen parti yang membuat tindakan seperti begini? Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,10.00 pagi,1000,Dato' Seri Mohamed Nazri Abdul Aziz,"Tuan Yang di-Pertua, ada perbezaan di
sini. Didaftar, dengan cuba didaftar, dua benda yang cukup jauhlah ya. Cuba mendaftar,
bermakna perkara itu tidak berlakulah. Jadi, sememangnya kita di bawah undang-undang
Akta Pilihan Raya kita, kita membenarkan agen-agen dilantik bagi mewakili parti-parti
politik. Kalau sekiranya dimaklumkan kepada kita bahawa ada percubaan seperti ini maka
hendaklah dilaporkan dan kita pertamanya, sudah tentulah akan membatalkan pelantikan
beliau sebagai penolong pendaftar. Keduanya, sudah tentu kita akan ambil tindakan yang
dibenarkan di bawah Akta Pilihan Raya."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,10.00 pagi,1000,Tuan Mohamed Azmin Ali [Gombak],"Terima kasih Tuan Yang di-Pertua. Salah
satu peranan utama Suruhanjaya Pilihan Raya ialah untuk menjalankan pilihan raya secara
adil dan bebas. Untuk menjalankan satu pilihan raya yang adil dan bebas, perkara asas
yang harus kita perkemaskan ialah daftar pemilih yang bersih dan tidak kotor. Maka mana-
mana pihak yang menentang bersih, sudah tentulah mereka ini kotor. Dua hari yang lalu
Timbalan Pengerusi Suruhanjaya Pilihan Raya, Datuk Wira Haji Wan Ahmad bin Wan Omar
telah mencabar saya untuk membuktikan dakwaan yang dibuat oleh KEADILAN bahawa
daftar pemilih yang ada hari ini yang diwartakan pada 13 Mei 2011. Adalah daftar pemilih
yang terkotor dalam sejarah politik Malaysia.
Maka semalam Tuan Yang di-Pertua, saya telah menyambut cabaran Timbalan
Pengerusi Suruhanjaya Pilihan Raya dalam Konvensyen Pilihan Raya Parti Keadilan
Rakyat. Di mana saya telah mengemukakan Daftar Pemilih Induk 2010 yang diwartakan
pada 13 Mei 2011, yang merupakan daftar pemilih yang terkini, terbukti di lokaliti Kampung
Klang Gate Baru, DUN Ulu Kelang, Parlimen Gombak. Tiga perkara utama yang tercatat
dalam daftar pemilih ini. Pertama, rumah No. 1E, rumah ibu saya Kampung Klang Gate
yang menetap berseorangan sudah hampir 10 tahun tetapi alamat ini terkandung 11 orang
pengundi lain.
Enam orang Melayu, lima orang Cina. Itu yang pertama. Kedua, Kampung Klang
Gate Baru adalah kampung tradisi Melayu. Tidak ada pengundi atau penduduk selain
daripada orang Melayu, tetapi dalam daftar pemilih ini terdapat 48 orang pengundi bukan
Melayu menetap di Kampung Klang Gate."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Ketiga dan yang akhirnya Tuan Yang di-Pertua, Kampung Klang Gate ini
merupakan kampung tradisi Melayu. Tidak ada bangunan, tidak ada kondominium, tidak
ada pangsapuri. Rumahnya merupakan rumah sebuah kampung Melayu. Akan tetapi,
dalam daftar pemilih ini ada alamat yang berwatak blok 22, tingkat 14, unit 5. Dalam satu
lokaliti sahaja iaitu Kampung Klang Gate hampir 100 orang pengundi hantu yang berwatak
seperti ini. Kalau satu lokaliti ada 100, di Parlimen Gombak ada 43 lokaliti, bermakna
hampir 4,000 pengundi hantu dibawa oleh SPR ke Parlimen Gombak. Oleh sebab itu saya
mencabar Wan Ahmad Wan Omar. Menyambut cabaran beliau, saya telah mendedahkan
penyelewengan dan penipuan ini."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],Baiklah Yang Berhormat.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Maka saya ingin mendapat penjelasan
daripada Yang Berhormat Menteri, apakah tindakan Jabatan Perdana Menteri untuk
memastikan SPR bertindak secara bebas dan memastikan daftar pemilih adalah daftar
pemilih yang bersih dan tidak kotor."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,"Pertamanya saya hendak mengucapkan
selamat kembali ke Parlimenlah sebab beliau bercuti enam bulan. Oleh sebab itu semangat
itu.
Tuan Yang di-Pertua..."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Bukan cuti. Yang Berhormat Menteri yang
gantung."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,"[Ketawa] Pasal hendak tolong beliau
kempen bukan? Sebenarnya Yang Berhormat, pendaftaran ini yang dilakukan oleh SPR
berdasarkan kepada alamat yang ada di dalam kad pengenalan itu. Jadi kalau ada kad
putih, maka itu bukan kerja kita. Itu JPN punya kerja, okey? Jadi kita berdaftarkan kepada
alamat yang ada, itu sahaja. Akan tetapi saya tidak tahulah, yang rumah Yang Berhormat
itu bukan kerja Yang Berhormatkah sampai 11 orang alamat tidak tahu itu?
Walau bagaimanapun, sehingga hari ini Yang Berhormat sahabat saya, kita
cubalah sebaik yang boleh. Kalau kita hendak ikut model PKR punya itu pun dia pun susah
juga pemilihannya dahulu bukan. Jadi kita akan cuba sebaik-baiknya dan saya boleh
menyatakan di sini, sehingga hari ini SPR tidak menerima laporan rasmi seperti mana Yang
Berhormat sebutkan. Jadi kalau Yang Berhormat bagi kepada SPR, sudah tentu kita akan.."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],[Bangun]
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],"Yang Berhormat, tidak perlu
terburu-buru bangun Yang Berhormat."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,Jadi...
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Yang Berhormat Menteri, sudah lima tahun
saya kemukakan aduan ini kepada SPR."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,Lima tahun.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],Yang Berhormat..
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],Sebelum tahun 2008.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,Setakat hari ini...
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Lima tahun, bukan baru."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,Ya betullah itu.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Satu dunia tahu aduan saya. Takkan SPR
tidak tahu."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],Yang Berhormat.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Oleh sebab itu saya rujuk daftar pemilih
2010 yang terkini yang diwartakan pada 13 Mei 2011 sebagai bukti..."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Timbalan Yang di-Pertua [Datuk Ronald Kiandee],Yang Berhormat.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],"Lima tahun saya buat aduan, tidak ada
tindakan oleh pihak SPR."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,"Walau bagaimanapun, pemilihan PKR itu
kita sah dialah walaupun banyak masalah bukan? Tidak mengapa Yang Berhormat. Kita
akan..."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Tuan Mohamed Azmin Ali [Gombak],Jawab soalanlah.
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato’ Seri Mohamed Nazri Abdul Aziz,"Tidak apalah, okeylah itu. Yalah, saya
kata sehingga pada hari ini, ini jawab dalam Parlimen ini. Kita tidak terima lagi secara rasmi.
Mungkin Yang Berhormat bercakap dalam kedai kopikah, bercakap mana-manakah.
Khusus yang ini Yang Berhormat bawa kepada SPR, saya akan ingatkan kepada SPR, ini
ada kompelin dalam Dewan oleh Ahli Yang Berhormat Gombak setelah bercuti enam bulan.
Beliau cukup marah, jadi hendak suruh kita siasat. Saya pastikan siasatan akan dibuat
Yang Berhormat ya. Terima kasih."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,1.,,■1010,1010,Dato' Mahfuz bin Haji Omar [Pokok Sena],"Daftar kotor ini, bukan bersih dah."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1010,1010,Tuan Salahuddin Haji Ayub [Kubang Kerian],"minta Menteri Tenaga, Teknologi
Hijau dan Air menyatakan, berapakah cadangan jumlah pengurangan subsidi bahan bakar
kepada penjana tenaga bebas (IPP) dan ke mana serta bagaimanakah wang dijimatkan
dari pemotongan subsidi itu akan dibelanjakan."
JAWAPAN-JAWAPAN LISAN BAGI PERTANYAAN-PERTANYAAN,2.,,■1010,1010,"Menteri Tenaga, Teknologi Hijau dan Air [Dato’ Sri Peter Chin Fah Kui]","Terima kasih Tuan Yang di-Pertua dan terima kasih Yang Berhormat. Izinkan saya
menjawab soalan Ahli Yang Berhormat dari kawasan Kubang Kerian bersekali dengan
soalan daripada Ahli-ahli Yang Berhormat Taiping, Serdang, Kelang dan Kuala Krai yang
mana dijadualkan pada tarikh 20, 22, 23 dan 27 Jun masing-masing. Ini adalah kerana
perkara-perkara yang dibangkitkan adalah berkaitan antara satu sama lain dan memerlukan
jawapan secara holistik supaya ini lebih jelas difahami.
Tuan Yang di-Pertua, pengenalan Independent Power Producer dengan izin IPP
pada tahun 90-an adalah bagi memenuhi keperluan kapasiti penjanaan yang meningkat
dengan pesat berikutan pertumbuhan ekonomi negara yang amat menggalakkan pada
tahun-tahun yang sebelumnya. Utiliti elektrik pada ketika itu ialah Lembaga Elektrik Negara
baru sahaja dikorporatkan dan tidak dapat memenuhi keperluan kapasiti penjanaan dalam
masa yang singkat.
Justeru itu, kerajaan telah membuat keputusan untuk pihak swasta menceburi
sektor penjanaan elektrik. Ekoran daripada itu, pihak IPP telah mengambil risiko
membangunkan loji jana kuasa dengan menggunakan pembiayaan institusi kewangan
tempatan bagi tujuan menyelamatkan sistem pembekalan elektrik dari mengalami
gangguan seperti brownout atau blackout pada awal tahun 1990-an. Kejayaan IPP Malaysia
ini turut mendapat pengiktirafan dari industri tenaga antarabangsa yang menobatkannya
sebagai Malaysia success story pada tahun 1990-an.
Pengenalan pihak IPP juga adalah sebahagian daripada dasar kerajaan untuk
meningkatkan persaingan dalam industri bekalan elektrik supaya meningkatkan tahap
kecekapan industri.
Untuk makluman Ahli-ahli Yang Berhormat, kerajaan tidak pernah
memperuntukkan sebarang subsidi kepada pihak IPP. Subsidi gas yang dimaksudkan
tersebut adalah jumlah hasil yang dilepaskan atau revenue for good, dengan izin, oleh
pihak Petronas selaras dengan keputusan kerajaan untuk menetapkan harga gas kepada
sektor penjanaan elektrik bagi mengekalkan kadar tarif elektrik yang rendah. Sekiranya
harga elektrik dihasilkan berdasarkan harga gas pasaran, sudah tentu kos penjanaan
elektrik akan meningkat dan seterusnya menyebabkan kenaikan kadar tarif elektrik.
Oleh sebab kos bahan api adalah component pass-through kepada pengguna,
penetapan harga gas yang dibuat oleh kerajaan adalah bertujuan untuk mengekalkan kadar
tarif pengguna yang rendah. Sukacita saya menegaskan di sini bahawa keputusan kerajaan
dalam penetapan harga gas kepada sektor elektrik tidak menghasilkan sebarang
pendapatan tambahan kepada pihak IPP.
Pada tahun 2008 selaras dengan kenaikan harga minyak secara mendadak di
pasaran antarabangsa, kerajaan telah memutuskan untuk menyemak semula harga gas
untuk sektor elektrik di Semenanjung sehingga ia mencapai harga pasaran."
