level_1,level_2,level_3,raw_timestamp,timestamp,author,speech
,,,2.30 petang,1430,ANNOTATION,"[Timbalan Yang di-Pertua (Dato’ Sri Haji Ismail bin Haji Mohamed Said)
mempengerusikan Mesyuarat]"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,2.34 ptg.,1434,Dato’ Dr. Mujahid bin Yusof Rawa [Parit Buntar],"Terima kasih
Tuan Yang di-Pertua. Menuntut Kerajaan Mengembalikan Elaun Guru
Pelatih**.** Isu pendidikan dan kebajikan rakyat merupakan perkara utama
yang seharusnya diangkat dan dimartabatkan dalam Dewan yg mulia ini.
Menerusi satu kenyataan media bertarikh 15 Julai 2017, Kementerian
Pendidikan mengumumkan bahawa elaun yang diberikan khas kepada
penuntut di institusi perguruan (IPG) akan dimansuhkan mulai
pengambilan pelajar Jun 2018.
Elaun sara diri sebanyak RM430 yang diperuntukkan kepada
bakal-bakal guru ini serta elaun balik kampung sebanyak RM500
setahun merupakan antara keistimewaan yang diperoleh oleh mereka
sebelum ini. Akibat potongan peruntukan kerajaan kepada Kementerian
Pendidikan, sejumlah elaun telah dimansuhkan iaitu elaun buku, elaun
praktikum dan elaun tesis. Elaun sara diri juga sebenarnya telah
mengalami potongan yang signifikan apabila ia diselaraskan dengan
RM430 yang sebelum ini diberikan mengikut zon antara RM500 hingga
RM800. Potongan elaun-elaun ini dibuat secara senyap tanpa
dihebohkan.
Dengan pengumuman cadangan kerajaan di bawah Kementerian
Pendidikan untuk memansuhkan kesemua elaun yang diberikan kepada
penuntut IPG mulai Jun 2018, majoriti rakyat terutama mahasiswa
menolak cadangan ini kerana ia bakal memberikan impak yang besar
kepada para bakal guru ini. Mahasiswa-mahasiswa menyatakan
kerisauan dan kegusaran sekiranya pemansuhan ini akan menjejaskan
bilangan bakal guru yang akan dikeluarkan dan akhirnya bakal
merencatkan pembangunan pendidikan generasi akan datang.
Oleh kerana itu, saya berpandangan bahawa usul ini melibatkan
perkara urus tadbir kerajaan, berkepentingan ramai dan perlu
disegerakan. Sekian, terima kasih Tuan Yang di-Pertua."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,2.36 ptg.,1436,Timbalan Menteri Pendidikan [Datuk P. Kamalanathan a/l P. Panchanathan],"Terima kasih Tuan Yang di-Pertua. Terima kasih Yang
Berhormat Parit Buntar. Tuan Yang di-Pertua, Kementerian Pendidikan
Malaysia (KPM) mengambil perhatian berat akan keperluan pendidikan
di negara ini terutamanya dalam aspek kemudahan dan kebajikan pelajar
termasuk pelajar institut pendidikan guru (IPG).
Untuk makluman Yang Berhormat, Menteri Pendidikan dan saya
sendiri menerima banyak pertanyaan daripada Ahli-ahli Yang Berhormat
Barisan Nasional mengenai isu elaun guru pelatih. Oleh yang demikian,
pada kesempatan ini, izinkan saya menjelaskan perkara-perkara yang
ditimbulkan oleh semua pihak umumnya dan Ahli Yang Berhormat Parit
Buntar khasnya.
Program latihan perguruan semakin mendapat permintaan tinggi
dalam masyarakat. Keadaan ini petanda positif kerana terdapat minat
yang meluas untuk menyertai profesion perguruan. Sehubungan dengan
itu, Kementerian Pendidikan Malaysia telah menyediakan Program
Ijazah Sarjana Muda Perguruan (PISMP), Program Pensiswazahan Guru
(PPG) dan Program Kembar Pra-perkhidmatan KPM bersama *University
of Franche-Comté* untuk program bahasa Perancis. Selain daripada itu,
Kementerian Pendidikan Malaysia juga mengendalikan Program
Diploma Perguruan Malaysia (PDPM) Menengah dan Rendah bagi
agensi luar dan swasta serta Program Diploma Pendidikan Lepas Ijazah
(PDPLI).
Institut Pendidikan Guru Malaysia (IPGM) melalui IPG
bertanggungjawab melatih bakal guru sekolah rendah. Guru pelatih
diambil daripada kalangan murid lulusan Tingkatan 5, Tingkatan 6 atau
graduan universiti tempatan. Sesuatu yang istimewa ialah guru pelatih di
IPG mendapat pelbagai kemudahan dan bantuan kewangan daripada
kerajaan berbanding dengan pelajar dalam bidang yang sama di
universiti awam mahupun swasta.
Yuran pengajian mereka ditanggung sepenuhnya oleh kerajaan,
di samping mendapat elaun sara hidup dan belanja tambang pergi balik
setahun. Dalam hal ini Kementerian Pendidikan Malaysia mengucapkan
terima kasih kepada Kerajaan Pusat kerana sentiasa membuat
pelaburan yang besar bagi menyediakan guru-guru yang berkualiti untuk
memenuhi keperluan aspirasi sistem pendidikan abad ke-21.
Tuan Yang di- Pertua, peruntukan elaun pelajar IPGM pada tahun
2017 yang diluluskan oleh Parlimen pada 21 Oktober 2016 adalah
sebanyak RM20 juta sahaja. Sehubungan dengan itu, Kementerian
Pendidikan Malaysia telah membuat penilaian terhadap kadar elaun
pelajar PISMP untuk dikurangkan daripada RM700 kepada RM430
sebulan seperti mana yang diterima oleh pelajar Program Persediaan
Ijazah Sarjana Muda Perguruan (PPISMP) dan belanja tambang
dihadkan kepada maksimum RM500 seorang, dibayar setahun sekali.
Perkara ini diuar-uarkan melalui kenyataan media Kementerian
Pendidikan Malaysia pada 15 Julai 2017. Oleh itu, tuduhan Ahli Yang
Berhormat Parit Buntar bahawa potongan elaun pelatih ini dibuat secara
senyap tanpa dihebohkan adalah tidak benar sama sekali."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Timbalan Menteri Pendidikan [Datuk P. Kamalanathan a/l P. Panchanathan],"Berdasarkan kadar elaun baharu tersebut, peruntukan yang
diperlukan oleh Kementerian Pendidikan Malaysia bagi pembayaran
elaun pelatih PISMP dan PPISMP adalah dianggarkan sebanyak
RM64.5 juta, termasuk untuk menampung keperluan peruntukan elaun
dan tambang sehingga bulan Disember 2017. Atas dasar menjaga
kepentingan dan kebajikan pelajar, Kementerian Pendidikan Malaysia
telah menjajarkan semula peruntukan sedia ada di Kementerian
Pendidikan Malaysia.
Sehingga bulan Julai 2017, keperluan tambahan yang diturunkan
kepada IPGM menggunakan penjajaran dalaman Kementerian
Pendidikan Malaysia adalah sebanyak RM19,536,620 termasuk elaun
pelajar bulan Ogos 2017. Jumlah peruntukan yang telah diturunkan
kepada IPGM sehingga 31 Julai 2017 adalah berjumlah RM39,536,620.
Kementerian Pendidikan Malaysia ingin menjelaskan sekali lagi
bahawa pelajar IPG sedia ada iaitu ambilan sebelum Jun 2017 akan
terus menerima elaun seperti yang telah diselaraskan mulai 1 Januari
2017, iaitu pada kadar RM430 sebulan di samping belanja tambang pergi
balik pada kadar maksimum RM500 untuk sekali dalam setahun
sehingga tamat pengajian. Bagi pelajar IPG Program Persediaan Ijazah
Sarjana Muda Perguruan (PPISMP) ambilan baharu, bulan Jun 2017,
bayaran elaun sara hidup dan belanja tambang balik untuk sekali
setahun akan terus dibayar sepanjang tempoh program PPISMP (satu
tahun).
Untuk makluman Ahli Yang Berhormat, penyelarasan kadar elaun
baharu pelajar PISMP ini adalah sebagai langkah penyesuaian kepada
peruntukan yang ditetapkan untuk elaun pelajar IPG bagi tahun 2017.
Namun, sebagai usaha meringankan beban pelajar IPG berikutan
penyelarasan kadar elaun ini, yuran penginapan asrama sebanyak
RM80 sebulan yang dikenakan ke atas pelajar sebelum ini dimansuhkan.
Bagi pelajar baharu ambilan bulan Jun 2017 yang menyambung
pengajian ke PISMP (tempoh pengajian empat tahun), yuran pengajian
berjumlah RM27,831 masih ditanggung sepenuhnya oleh kerajaan.
Kementerian Pendidikan Malaysia juga sedang meneliti tentang
kadar elaun kepada kumpulan pelajar baharu IPG ini serta memohon
pertimbangan dan kelulusan agensi pusat. Bagi tahun 2018,
Kementerian Pendidikan Malaysia telah membida peruntukan elaun
pelajar IPGM tahun 2018 sebanyak RM70,956,850 semasa sesi
pemeriksaan Anggaran Belanja Mengurus (ABM) Tahun 2018.
Permohonan peruntukan ini juga telah diperakukan oleh Kementerian
Kewangan sewaktu sesi pemeriksaan ABM tersebut.
Pada masa yang sama, Kementerian Pendidikan Malaysia ingin
menegaskan bahawa isu elaun guru pelatih IPG tidak akan menjejaskan
bilangan bakal guru yang akan dikeluarkan oleh KPM seperti dakwaan
Ahli Yang Berhormat. Pandangan bahawa isu ini akan merencatkan
pembangunan pendidikan generasi akan datang juga merupakan satu
tuduhan yang tidak tepat untuk mengelirukan masyarakat seolah-olah
Kementerian Pendidikan Malaysia berniat untuk membebankan pelajar
IPG. Ia juga seolah-olah menafikan peranan guru-guru yang sentiasa
berkorban mendidik anak bangsa. Ciri-ciri guru Malaysia yang sedia
berkhidmat dan berkongsi situasi semasa negara telah mula disemai di
peringkat latihan pra-perkhidmatan dan dihayati sepanjang masa dalam
profesion keguruan.
Pada masa ini, jumlah ambilan PPISMP tahun 2017 di IPG
seluruh negara ialah seramai 2,381 orang. Unjuran pengambilan
PPISMP untuk lima tahun yang akan datang stabil pada angka 3,200
orang setahun. Kementerian Pendidikan Malaysia yakin bekalan guru
adalah mencukupi dan menghampiri tahap pengisian penuh. Tambahan
pula, IPG hanya menyediakan latihan guru untuk peringkat sekolah
rendah. Latihan guru di peringkat menengah dijalankan di universiti
awam yang tidak menyediakan kemudahan elaun seperti pelatih IPG.
Di samping itu, Kementerian Pendidikan Malaysia yakin bilangan
calon yang berminat menjadi guru akan bertambah setiap tahun.
Kementerian Pendidikan Malaysia akan terus komited menyediakan
guru-guru yang berkualiti bagi meningkatkan standard pendidikan
negara dan memastikan IPG dapat meningkatkan standard pendidikan
di Malaysia melalui latihan dan pembangunan pendidikan guru.
Tuan Yang di-Pertua, sebagai kesimpulannya, Kementerian
Pendidikan Malaysia akan sentiasa berusaha menjaga kebajikan semua
pihak yang berkepentingan dalam memastikan kelangsungan
pendidikan di Malaysia. Kementerian Pendidikan Malaysia komited untuk
mentransformasikan profesion keguruan menjadi profesion pilihan. Yang
Berhormat Dato’ Sri Menteri Pendidikan telah mengadakan
perbincangan lanjut dengan Yang Amat Berhormat Perdana Menteri
untuk mempertimbangkan semula perkara ini dan akan mencari
penyelesaian yang paling wajar demi kepentingan semua pihak. Walau
bagaimanapun, penyelarasan program dan bantuan pendidikan perlu
dilakukan sejajar dengan kedudukan kewangan negara tanpa
mengorbankan tanggungjawab utama menyediakan bekalan guru yang
berkualiti. Terima kasih Tuan Yang di-Pertua."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Timbalan Yang di-Pertua [Dato’ Sri Haji Ismail bin Haji Mohamed Said],"Ya, terima kasih. Cuma Yang Berhormat Menteri, saya
hendak dapatkan pengesahan, elaun RM430 itu akan dimansuhkan atau
tidak mulai Jun 2018?"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Datuk P. Kamalanathan a/l P. Panchanathan,"Untuk
makluman Tuan Yang di-Pertua, ia tidak dimansuhkan."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Timbalan Yang di-Pertua [Dato’ Sri Haji Ismail bin Haji Mohamed Said],Ya.
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Datuk P. Kamalanathan a/l P. Panchanathan,"Apa yang
dimansuhkan maksud saya sebentar tadi ialah yuran penginapan
asrama sebayak RM880 sebulan yang dikenakan ke atas pelajar
sebelum itu dimansuhkan."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Timbalan Yang di-Pertua [Dato’ Sri Haji Ismail bin Haji Mohamed Said],"Ya, terima kasih. Maknanya kenyataan surat khabar
selama ini tidak tepatlah yang mengatakan– sebab kita pun dapat
pembacaan. Saya pun agak gusar dan bimbang dengan kenyataan yang
dikeluarkan oleh surat khabar mengatakan mulai Jun 2018 semua elaun
IPG akan dimansuhkan."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Datuk P. Kamalanathan a/l P. Panchanathan,"Tuan Yang di-
Pertua, saya harap penjelasan ini akan memberi lebih jernih dan harap
pihak Yang Berhormat juga akan membantu kita menyebarkan maklumat
yang tepat, terima kasih."
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,■1440,1440,Timbalan Yang di-Pertua [Dato’ Sri Haji Ismail bin Haji Mohamed Said],"Kena buat kenyataan baru ini sebab keluh kesah
timbul, sebab itu Yang Berhormat menimbulkan isu ini. Bahkan lebih baik
kerana yuran RM80 sebulan itu dimansuhkan dan keistimewaan yang
lain diberikan. Terima kasih Yang Berhormat.
**Lebih Rumah Mampu Milik kepada Rakyat Sabah**"
UCAPAN DI BAWAH USUL BERKENAAN PERKARA TADBIR KERAJAAN (P.M. 17),Menuntut Kerajaan Mengembalikan Elaun Guru Pelatih,,2.48 ptg.,1448,Tuan Wong Tien Fatt @ Wong Nyuk Foh [Sandakan],"Terima
kasih Tuan Yang di-Pertua. Tuan Yang di-Pertua, merujuk kepada
Peraturan Mesyuarat 17 mengenai ucapan penangguhan kepada Kamar
Khas, saya menujukan ucapan saya kepada Menteri Kesejahteraan
Bandar, Perumahan dan Kerajaan Tempatan tentang lebih rumah
mampu milik kepada rakyat Sabah. Tuan Yang di-Pertua,
memandangkan rakyat Sabah menghadapi kesusahan di mana
pendapatan lebih rendah dari Semenanjung Malaysia manakala kos
kehidupan lebih tinggi dari Semenanjung Malaysia, sudah tentu akan
lebih susah bagi orang Sabah untuk membeli dan memiliki sebuah
rumah.
Mengikut laporan kajian penyelidik, harga rumah di Sabah adalah
lebih tinggi dari Semenanjung Malaysia. Tambahan pula indeks
ketidakmampuan perumahan bagi orang Sabah adalah lebih tinggi dari
Semenanjung Malaysia. Ini menunjukkan bahawa keperluan rumah
mampu milik bagi rakyat Sabah adalah tinggi.
Tuan Yang di-Pertua, saya mendapati bahawa Kerajaan
Persekutuan telah mengumumkan pelaksanaan sistem sewa beli di
Projek Perumahan Rakyat (PPR). Buat permulaan, rumah ini di lima
PPR yang melancarkan sistem tersebut iaitu dua di Selangor dan
masing-masing satu di Negeri Sembilan, Kelantan dan Kuala Lumpur."
