level-1,level-2,level-3,timestamp,author,speech
,,,10.17 pagi,,
,"ISTIADAT PEMBUKAAN PENGGAL KEEMPAT
MAJLIS PARLIMEN YANG KEEMPAT BELAS
",,10.17 pagi,ANNOTATIONS,
,"ISTIADAT PEMBUKAAN PENGGAL KEEMPAT
MAJLIS PARLIMEN YANG KEEMPAT BELAS
",,10.17 pagi,Tuan Yang di-Pertua," Ahli-ahli Yang Berhormat, Persidangan Parlimen Yang
Keempat Belas, Penggal Keempat yang diadakan bersama di antara Dewan Negara dan
Dewan Rakyat sekarang berlangsung. Persidangan ini adalah di bawah Perkara 60,
Perlembagaan Persekutuan di mana Kebawah Duli Yang Maha Mulia Seri Paduka
Baginda Yang di-Pertuan Agong akan bertitah kepada Ahli-ahli kedua-dua Majlis Parlimen
bersesama. Sekarang saya tempohkan persidangan buat sementara waktu untuk
menyambut keberangkatan tiba Kebawah Duli Yang Maha Mulia Seri Paduka Baginda
Yang di-Pertuan Agong. Persidangan ditempohkan.
"
,"ISTIADAT PEMBUKAAN PENGGAL KEEMPAT
MAJLIS PARLIMEN YANG KEEMPAT BELAS
",,10.17 pagi,ANNOTATIONS,
,"ISTIADAT PEMBUKAAN PENGGAL KEEMPAT
MAJLIS PARLIMEN YANG KEEMPAT BELAS
",,10.17 pagi,ANNOTATIONS,
,"ISTIADAT PEMBUKAAN PENGGAL KEEMPAT
MAJLIS PARLIMEN YANG KEEMPAT BELAS
",,10.17 pagi,ANNOTATIONS,"[Keberangkatan tiba Seri Paduka Baginda Yang di-Pertuan Agong ke Dewan
"
,"ISTIADAT PEMBUKAAN PENGGAL KEEMPAT
MAJLIS PARLIMEN YANG KEEMPAT BELAS
",,10.17 pagi,ANNOTATIONS,"[Yang Amat Berhormat Perdana Menteri mempersembahkan Titah Diraja kepada
2                                                    DR.13.09.2021 
"
,"TITAH KEBAWAH DULI YANG MAHA MULIA
SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG XVI
AL-SULTAN ABDULLAH RI’AYATUDDIN
AL-MUSTAFA BILLAH SHAH
IBNI ALMARHUM SULTAN HAJI AHMAD SHAH AL-MUSTA’IN BILLAH
Bismillahi Rahmani Rahim, Assalamualaikum warahmatullahi wabarakatuh.
Alhamdulillahi Rabbil ‘Alamin Wassolaatu Wassalaamu ‘Ala Asyrafil Anbiyaai Wal
Mursaliin, Wa’ala Aalihi Wa Sohbihi Ajma’iin.
Yang di-Pertua Dewan Negara, Yang di-Pertua Dewan Rakyat, Ahli-ahli Dewan
Negara dan Ahli-ahli Dewan Rakyat yang Beta hormati sekalian.
",,■1020,ANNOTATIONS,"Segala pujian ke hadrat Allah SWT Yang Maha Berkuasa atas tiap-tiap sesuatu. Dialah
yang berkuasa memuliakan sesiapa yang dia kehendaki dan menghina sesiapa yang
dikehendaki. Selawat serta salam ke atas Junjungan Besar Nabi Muhammad SAW, ahli
keluarga serta para sahabat baginda.
Alhamdulillah. Bersyukur Beta ke hadrat Allah SWT kerana dengan kekuasaan-
Nya jua telah mengizinkan berlangsungnya Istiadat Pembukaan Penggal Keempat,
Parlimen Ke-14 pada hari yang penuh bermakna ini.
Istiadat pada pagi yang mulia ini berlangsung dalam suasana negara masih lagi
berhadapan dengan pandemik COVID-19. Namun, Istiadat Pembukaan Persidangan
Penggal Keempat ini jelas membuktikan bahawa amalan Demokrasi Berparlimen masih
lagi subur berakar di negara yang tercinta ini.
Sebelum Beta memulakan titah, Beta ingin mengajak Ahli-ahli Yang Berhormat
sekalian dan seluruh rakyat Malaysia untuk bertafakur dan kepada yang beragama Islam
untuk membaca surah Al-Fatihah bagi kita memperingati rakyat Beta yang telah terlebih
dahulu pergi buat selama-lamanya menemui Tuhan Yang Maha Esa akibat pandemik
COVID-19. Al-Fatihah.
"
,"TITAH KEBAWAH DULI YANG MAHA MULIA
SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG XVI
AL-SULTAN ABDULLAH RI’AYATUDDIN
AL-MUSTAFA BILLAH SHAH
IBNI ALMARHUM SULTAN HAJI AHMAD SHAH AL-MUSTA’IN BILLAH
Bismillahi Rahmani Rahim, Assalamualaikum warahmatullahi wabarakatuh.
Alhamdulillahi Rabbil ‘Alamin Wassolaatu Wassalaamu ‘Ala Asyrafil Anbiyaai Wal
Mursaliin, Wa’ala Aalihi Wa Sohbihi Ajma’iin.
Yang di-Pertua Dewan Negara, Yang di-Pertua Dewan Rakyat, Ahli-ahli Dewan
Negara dan Ahli-ahli Dewan Rakyat yang Beta hormati sekalian.
",,■1020,ANNOTATIONS,
,"TITAH KEBAWAH DULI YANG MAHA MULIA
SERI PADUKA BAGINDA YANG DI-PERTUAN AGONG XVI
AL-SULTAN ABDULLAH RI’AYATUDDIN
AL-MUSTAFA BILLAH SHAH
IBNI ALMARHUM SULTAN HAJI AHMAD SHAH AL-MUSTA’IN BILLAH
Bismillahi Rahmani Rahim, Assalamualaikum warahmatullahi wabarakatuh.
Alhamdulillahi Rabbil ‘Alamin Wassolaatu Wassalaamu ‘Ala Asyrafil Anbiyaai Wal
Mursaliin, Wa’ala Aalihi Wa Sohbihi Ajma’iin.
Yang di-Pertua Dewan Negara, Yang di-Pertua Dewan Rakyat, Ahli-ahli Dewan
Negara dan Ahli-ahli Dewan Rakyat yang Beta hormati sekalian.
",,■1020,ANNOTATIONS,"Ahli-ahli Yang Berhormat sekalian, pada 16 Ogos yang lalu, buat kali kedua dalam
tempoh pemerintahan Beta, negara telah sekali lagi menyaksikan peletakan jawatan
Perdana Menteri Malaysia.
Pada kesempatan ini, Beta ingin menzahirkan penghargaan kepada Yang
Berhormat Tan Sri Dato’ Haji Mahiaddin Bin Haji Md Yasin, [Tepuk] Perdana Menteri
Malaysia yang kelapan dan barisan Ahli Jemaah Menteri yang telah menerajui
pentadbiran negara mengharungi cabaran pandemik COVID-19 yang getir. Seperti yang
berlaku pada tahun 2020 yang lalu, ekoran peletakan jawatan Perdana Menteri Malaysia
yang ketujuh, amanah berat untuk memilih dan melantik Perdana Menteri Malaysia yang
kesembilan telah Beta laksanakan dengan berpandu kepada Perlembagaan Persekutuan.
Selaras dengan konsep Raja Berperlembagaan dan Demokrasi Berparlimen,
Beta telah memberi peluang kepada semua 220 orang Ahli-ahli Dewan Rakyat untuk
menamakan menerusi surat akuan seorang Ahli Dewan Rakyat yang diberi kepercayaan
untuk dilantik sebagai Perdana Menteri.
Menerusi surat-surat akuan tersebut, Beta mendapati seramai 114 Ahli Dewan
Rakyat telah memberi kepercayaan kepada Yang Amat Berhormat Dato’ Sri Ismail Sabri
Yaakob, Ahli Parlimen Bera. [Tepuk] Pada 19 Ogos 2021, setelah menerima menghadap
semua 114 Ahli Dewan Rakyat tersebut, Beta telah berpuas hati bahawa kepercayaan
yang diberikan kepada Yang Amat Berhormat Ahli Parlimen Bera adalah dengan kerelaan
DR.13.09.2021                                                                       3 
mereka sendiri serta dengan tanpa sebarang paksaan. Jumlah ini adalah merupakan
jumlah majoriti yang mencukupi untuk membentuk kerajaan. [Tepuk]
"
