level_1,level_2,level_3,timestamp,author,speech
,,,10.00 pagi.,ANNOTATION,"[Timbalan Yang di-Pertua (Puan Alice Lau Kiong Yieng)
mempengerusikan Mesyuarat]"
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Menteri Komunikasi dan Digital [Tuan Ahmad Fahmi bin Mohamed Fadzil],"Tuan
Yang di-Pertua,
“Mengikut Peraturan Mesyuarat 12(1), saya mohon mencadangkan
bahawa Mesyuarat pada hari ini tidak akan ditangguhkan pada jam 1.00 tengah
hari dan akan bersidang secara terus sehingga selesai dibahaskan dan
diputuskan DR 4/2023 Rang Undang-undang Kewangan 2023; DR 3/2023 Rang
Undang-undang Levi Keuntungan Luar Biasa (Pengesahan) 2023; DR 7/2023
Rang Undang-undang Pemansuhan Hukuman Mati Mandatori 2023; dan DR
8/2023 Rang Undang-undang Semakan Hukuman Mati dan Pemenjaraan
Sepanjang Hayat (Bidang Kuasa Sementara Mahkamah Persekutuan) 2023
seperti di No. 1 hingga 4 dalam Aturan Urusan Mesyuarat dan Usul-usul hari ini.
Selepas itu, Majlis Mesyuarat akan ditangguhkan sehingga jam 10.00 pagi hari
Selasa, 4 April 2023.”"
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Timbalan Menteri Kewangan [Datuk Seri Haji Ahmad bin Haji Maslan],"Tuan Yang
di-Pertua, saya mohon menyokong."
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],"Ahli-ahli Yang Berhormat,
sekarang saya kemukakan masalah kepada Majlis untuk diputuskan. Masalahnya ialah usul
seperti yang dikemukakan tadi hendaklah disetujukan."
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,ANNOTATION,[Usul dikemuka bagi diputuskan; dan disetujukan]
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal [Machang],"Tuan Yang di-Pertua,
Standing Order 18(1), “Siapa-siapa Ahli selain Menteri bolehlah berdiri di tempatnya dan
meminta kebenaran hendak merundingkan perkara tertentu berkenaan kepentingan orang ramai
yang berkehendak disegerakan dengan membaca teks usul yang diluluskan oleh Tuan Yang di-
Pertua”.
Tuan Yang di-Pertua, saya telah menerima jawapan balas dari Pejabat Tuan Yang di-
Pertua Dewan Rakyat berhubung usul tergempar yang telah saya hantar Jumaat yang lalu.
Malangnya, pada pagi ini saya lihat usul tersebut telah ditolak dengan alasan bahawasanya Yang
Berhormat Timbalan Menteri Kewangan dan Yang Amat Berhormat Menteri Kewangan telah pun
menjelaskan hal berkenaan dengan pengeluaran bersasar KWSP ini. Akan tetapi saya mendapat
banyak pandangan dan juga complaint ataupun resahan daripada rakyat bahawasanya
penjelasan dan ulasan daripada kedua-dua Yang Amat Berhormat Menteri Kewangan dan Yang
Berhormat Timbalan Menteri Kewangan baru-baru ini tidak memuaskan mereka.
Jadi izinkanlah Tuan Yang di-Pertua, untuk kami membahaskan perkara ini hari ini,
berbaki dua hari lagi sebelum kita tamat sesi sidang Parlimen hari ini. Bolehlah sekiranya usul
ini dipertimbangkan agar ia dapat membawa kepentingan orang ramai yang begitu memerlukan
pengeluaran KWSP bersasar pada kali ini."
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,ANNOTATION,[Tepuk]
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Tuan Wan Ahmad Fayhsal bin Wan Ahmad Kamal [Machang],Mohon pertimbangan Tuan Yang di-Pertua.
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Timbalan Yang di-Pertua [Puan Alice Lau Kiong Yieng],"Yang Berhormat Machang,
keputusan telah dibuat oleh Tuan Yang di-Pertua dan mengikut Peraturan Mesyuarat 43,
keputusan Tuan Yang di-Pertua adalah muktamad. Kalau tidak puas hati, sila buat usul lagi."
USUL,"WAKTU MESYUARAT DAN URUSAN DIBEBASKAN
DARIPADA PERATURAN MESYUARAT",,10.04 pg.,Dato' Seri Dr. Shahidan bin Kassim [Arau],Tuan Yang di-Pertua.
